NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	90	-0.5303292	-2.093375	0.0	0.002298913	0.002	1607	tags=50%, list=20%, signal=61%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	128	-0.492248	-2.078581	0.0	0.0011494565	0.002	1653	tags=47%, list=20%, signal=58%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	105	-0.4591913	-1.876754	0.0	0.0054466333	0.014	1653	tags=51%, list=20%, signal=64%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	38	-0.5284103	-1.7540891	0.002105263	0.012448255	0.042	1787	tags=50%, list=22%, signal=64%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	18	-0.6304067	-1.7526987	0.011235955	0.010242815	0.043	1620	tags=56%, list=20%, signal=69%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	117	-0.42122218	-1.7311586	0.0	0.0105336085	0.052	1354	tags=34%, list=16%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	69	-0.46048197	-1.7252613	0.0	0.009334264	0.054	3068	tags=70%, list=37%, signal=110%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	63	-0.40955016	-1.5197954	0.018099548	0.06473095	0.365	1989	tags=56%, list=24%, signal=73%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	102	-0.35584748	-1.4430927	0.026104419	0.10295852	0.553	1340	tags=29%, list=16%, signal=35%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	79	-0.3760937	-1.4369459	0.021868788	0.09746252	0.574	1393	tags=28%, list=17%, signal=33%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	29	-0.4481643	-1.4347628	0.055445544	0.08964056	0.577	2795	tags=69%, list=34%, signal=104%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	64	-0.36159667	-1.3611283	0.06967213	0.1401812	0.777	1547	tags=31%, list=19%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.33122545	-1.3355073	0.059183672	0.15293366	0.841	1646	tags=29%, list=20%, signal=36%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	125	-0.2810026	-1.1813467	0.11729623	0.36444962	0.986	2380	tags=42%, list=29%, signal=58%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	112	-0.27879074	-1.1571534	0.19653179	0.38897362	0.996	1489	tags=20%, list=18%, signal=24%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	109	-0.2864221	-1.1473137	0.19433199	0.3848121	0.998	3593	tags=63%, list=44%, signal=111%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	111	-0.27063575	-1.128711	0.20944558	0.4000474	0.999	1287	tags=24%, list=16%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	56	-0.3018014	-1.0904425	0.32277226	0.45888528	1.0	2557	tags=48%, list=31%, signal=70%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	66	-0.27889556	-1.0524131	0.35714287	0.5235178	1.0	1952	tags=33%, list=24%, signal=43%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	112	-0.24734871	-1.0319945	0.3984526	0.542566	1.0	1952	tags=36%, list=24%, signal=46%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		41	-0.29750013	-1.0242897	0.4060606	0.5336373	1.0	3396	tags=66%, list=41%, signal=112%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		140	-0.23794293	-0.99506754	0.46732673	0.57420105	1.0	3160	tags=45%, list=38%, signal=72%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		27	-0.32513288	-0.99358875	0.47033897	0.5527928	1.0	1028	tags=22%, list=13%, signal=25%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		22	-0.32813123	-0.98091185	0.49064448	0.55711514	1.0	1195	tags=27%, list=15%, signal=32%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		26	-0.30927876	-0.93448687	0.5671937	0.63780475	1.0	1620	tags=31%, list=20%, signal=38%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		138	-0.14936684	-0.64259964	0.9939271	1.0	1.0	3083	tags=41%, list=38%, signal=64%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		107	-0.099363714	-0.4071825	1.0	0.9992783	1.0	7195	tags=99%, list=88%, signal=786%	
