NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	21	0.5274611	1.5467241	0.036679536	0.30100864	0.295	1205	tags=38%, list=15%, signal=45%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	95	0.38453954	1.5385748	0.014492754	0.1649487	0.32	1242	tags=34%, list=15%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	72	0.37729317	1.4408615	0.0327553	0.23924288	0.566	2714	tags=47%, list=33%, signal=70%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	70	0.3604321	1.3717754	0.06284658	0.31276602	0.764	948	tags=34%, list=12%, signal=38%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	89	0.32405776	1.2984565	0.09195402	0.41319665	0.92	2582	tags=47%, list=31%, signal=68%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	96	0.3043302	1.2340924	0.1292373	0.50583804	0.977	1792	tags=30%, list=22%, signal=38%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	137	0.27958065	1.2020228	0.13469388	0.51491886	0.992	1527	tags=30%, list=19%, signal=36%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	48	0.31011036	1.1077738	0.29666013	0.7415983	1.0	1462	tags=31%, list=18%, signal=38%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	90	0.28008714	1.1005656	0.27639157	0.68103486	1.0	1824	tags=33%, list=22%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	44	0.29019377	1.0120546	0.4691358	0.9126769	1.0	1642	tags=32%, list=20%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	82	0.24570186	0.96414536	0.5363985	1.0	1.0	3262	tags=55%, list=40%, signal=90%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	54	0.2661609	0.96372986	0.5194274	0.92219394	1.0	2762	tags=43%, list=34%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	108	0.22851141	0.9231975	0.60910815	0.9872238	1.0	1956	tags=29%, list=24%, signal=37%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	104	0.21599655	0.8778741	0.7106796	1.0	1.0	732	tags=13%, list=9%, signal=14%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	92	0.22140175	0.8727772	0.71760154	0.9903933	1.0	1824	tags=34%, list=22%, signal=43%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	88	0.21751563	0.85355985	0.7561437	0.9724346	1.0	1213	tags=18%, list=15%, signal=21%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	111	0.20816216	0.84232605	0.81578946	0.9387315	1.0	849	tags=13%, list=10%, signal=14%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	97	0.20865466	0.8408202	0.7838384	0.88881624	1.0	2374	tags=33%, list=29%, signal=46%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	26	0.26123208	0.823966	0.69407266	0.87237865	1.0	2430	tags=38%, list=30%, signal=54%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	50	0.21587332	0.7733369	0.8382353	0.9066744	1.0	372	tags=6%, list=5%, signal=6%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		54	0.17242002	0.63052624	0.9688109	0.97343564	1.0	2752	tags=44%, list=33%, signal=66%	
