site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:100364392	wtdmso	wtcsc	1	15	39	47	0.08034188034188035	0.004014071779260452
chr10:100364512	wtdmso	wtcsc	18	40	79	87	0.49556962025316453	0.031719944972059995
chr10:104031722	wtdmso	wtcsc	2	17	75	82	0.12862745098039216	0.002442186895390645
chr10:104033264	wtdmso	wtcsc	6	25	71	60	0.2028169014084507	0.0005456504742475393
chr10:119500018	wtdmso	wtcsc	3	14	9	6	0.14285714285714285	0.026880108332930315
chr10:17233839	wtdmso	wtcsc	18	73	169	217	0.31660857582880764	1.5422111709486448e-05
chr10:17235208	wtdmso	wtcsc	14	47	245	318	0.38662613981762917	0.002374788929885929
chr10:17235340	wtdmso	wtcsc	1	10	273	378	0.13846153846153847	0.031029039038122583
chr10:17236340	wtdmso	wtcsc	13	36	274	332	0.4375506893755069	0.01107084522251562
chr10:17237524	wtdmso	wtcsc	21	54	276	360	0.5072463768115942	0.012884922632310428
chr10:32901079	wtdmso	wtcsc	5	20	61	87	0.35655737704918034	0.04742068130820066
chr10:32901200	wtdmso	wtcsc	4	28	65	71	0.15604395604395604	0.00023525185108270606
chr10:4972736	wtdmso	wtcsc	5	4	36	145	5.034722222222222	0.023812950734311368
chr10:71817018	wtdmso	wtcsc	27	63	201	273	0.582089552238806	0.034552187632954076
chr10:71817351	wtdmso	wtcsc	6	28	200	269	0.2882142857142857	0.0036818086879973544
chr10:71818641	wtdmso	wtcsc	23	56	155	195	0.5167050691244239	0.016029184491784854
chr10:71818681	wtdmso	wtcsc	25	67	153	190	0.46336942737293924	0.002749150859803747
chr10:71819613	wtdmso	wtcsc	14	58	127	155	0.2945967960901439	7.524164672949443e-05
chr10:71828041	wtdmso	wtcsc	5	22	105	161	0.3484848484848485	0.03679971563833478
chr10:71828117	wtdmso	wtcsc	29	72	76	107	0.5670687134502924	0.03976148684770511
chr10:71828134	wtdmso	wtcsc	18	53	88	113	0.436106346483705	0.007034069121767685
chr10:71831216	wtdmso	wtcsc	30	83	55	54	0.3548740416210296	0.0003150528459503982
chr10:72274373	wtdmso	wtcsc	7	30	89	151	0.39588014981273406	0.04007082933651736
chr10:72275294	wtdmso	wtcsc	7	32	100	167	0.3653125	0.018931432481254708
chr10:72275926	wtdmso	wtcsc	56	150	57	90	0.5894736842105263	0.027682000717074932
chr10:72275988	wtdmso	wtcsc	1	20	92	193	0.10489130434782609	0.005988249889202921
chr10:75214036	wtdmso	wtcsc	1	7	83	64	0.11015490533562823	0.02413133249740642
chr10:75219320	wtdmso	wtcsc	4	15	84	64	0.20317460317460317	0.005957814268539948
chr10:75229688	wtdmso	wtcsc	2	10	97	90	0.18556701030927836	0.033040109324184976
chr10:78035387	wtdmso	wtcsc	7	33	237	354	0.31683927886459534	0.004060462259714878
chr10:78037248	wtdmso	wtcsc	1	13	255	422	0.12730015082956259	0.02241033832458353
chr10:84142696	wtdmso	wtcsc	2	12	33	38	0.1919191919191919	0.03609516275282805
chr10:95237636	wtdmso	wtcsc	2	16	78	102	0.16346153846153846	0.010010986002654113
