site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:100361831	wtdmso	mtcsc	1	1	20	36	1.8	1.0
chr10:100362088	wtdmso	mtcsc	1	1	24	47	1.9583333333333333	1.0
chr10:100362195	wtdmso	mtcsc	10	15	17	37	1.4509803921568627	0.45892742523712515
chr10:100362220	wtdmso	mtcsc	1	2	27	52	0.9629629629629629	1.0
chr10:100362647	wtdmso	mtcsc	1	4	39	57	0.36538461538461536	0.6455921628350505
chr10:100362752	wtdmso	mtcsc	1	2	32	57	0.890625	1.0
chr10:100362913	wtdmso	mtcsc	4	7	32	59	1.0535714285714286	1.0
chr10:100363046	wtdmso	mtcsc	6	14	40	71	0.7607142857142857	0.7997919346647411
chr10:100363097	wtdmso	mtcsc	22	30	34	68	1.4666666666666666	0.2922252238870206
chr10:100363150	wtdmso	mtcsc	19	42	32	36	0.5089285714285714	0.07355282373655292
chr10:100363246	wtdmso	mtcsc	2	2	54	90	1.6666666666666667	0.6335456855060069
chr10:100363253	wtdmso	mtcsc	1	2	56	76	0.6785714285714286	1.0
chr10:100363423	wtdmso	mtcsc	4	11	63	95	0.5483405483405484	0.41091815498244744
chr10:100363743	wtdmso	mtcsc	8	17	37	57	0.724960254372019	0.643607638801855
chr10:100363779	wtdmso	mtcsc	6	12	41	65	0.7926829268292683	0.7952404416464871
chr10:100363945	wtdmso	mtcsc	1	1	51	73	1.4313725490196079	1.0
chr10:100364038	wtdmso	mtcsc	2	2	60	75	1.25	1.0
chr10:100364310	wtdmso	mtcsc	7	10	67	80	0.835820895522388	0.8010656116371189
chr10:100364322	wtdmso	mtcsc	3	5	76	96	0.7578947368421053	1.0
chr10:100364341	wtdmso	mtcsc	1	4	82	104	0.3170731707317073	0.3900519372397798
chr10:100364392	wtdmso	mtcsc	1	4	39	35	0.22435897435897437	0.20072332730560577
chr10:100364422	wtdmso	mtcsc	3	11	76	98	0.35167464114832536	0.15853426192367856
chr10:100364475	wtdmso	mtcsc	3	4	85	107	0.9441176470588235	1.0
chr10:100364512	wtdmso	mtcsc	18	21	79	90	0.976491862567812	1.0
chr10:100364569	wtdmso	mtcsc	8	15	70	81	0.6171428571428571	0.37062309319012626
chr10:100364601	wtdmso	mtcsc	6	8	93	112	0.9032258064516129	1.0
chr10:100364610	wtdmso	mtcsc	1	2	85	100	0.5882352941176471	1.0
chr10:100364650	wtdmso	mtcsc	1	1	94	114	1.2127659574468086	1.0
chr10:100364725	wtdmso	mtcsc	7	12	86	98	0.6647286821705426	0.47438229109885766
chr10:100523754	wtdmso	mtcsc	1	3	10	25	0.8333333333333334	1.0
chr10:100523800	wtdmso	mtcsc	3	5	20	37	1.11	1.0
chr10:100523926	wtdmso	mtcsc	3	6	19	29	0.7631578947368421	1.0
chr10:100526522	wtdmso	mtcsc	5	3	22	43	3.257575757575758	0.13657467675186513
chr10:100526977	wtdmso	mtcsc	4	7	22	38	0.987012987012987	1.0
chr10:100526987	wtdmso	mtcsc	8	15	18	27	0.8	0.794048526119771
chr10:100529402	wtdmso	mtcsc	5	11	21	33	0.7142857142857143	0.7696616753575252
chr10:100529461	wtdmso	mtcsc	2	1	23	42	3.652173913043478	0.5495450554713066
chr10:100529494	wtdmso	mtcsc	1	1	24	40	1.6666666666666667	1.0
chr10:100529769	wtdmso	mtcsc	1	3	20	32	0.5333333333333333	1.0
chr10:103389058	wtdmso	mtcsc	5	5	8	24	3.0	0.2382921318963001
chr10:103392371	wtdmso	mtcsc	19	18	22	37	1.7752525252525253	0.20665512539691522
chr10:103396438	wtdmso	mtcsc	1	2	15	34	1.1333333333333333	1.0
chr10:104031404	wtdmso	mtcsc	12	7	76	55	1.2406015037593985	0.8048111500180606
