inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1D2.S28_mtdmso_b1	M1D3.S36_mtdmso_b1	M2D2.S26_mtdmso_b1	lr	padj	dpsi
inclusion	N	alternative_acceptor	KRBA2	chr17:8349240-8377522	.	0.034	0.034	0.034	0.034	0.949	0.949	0.949	268.92	3.71e-56	91.49999999999999
inclusion	K	intron_retention	CTNNB1	chr3:41239355-41239818	+	0.353	0.353	0.353	0.353	0.76	0.76	0.76	217.12	3.66e-45	40.7
inclusion	K	intron_retention	FN1	chr2:215372016-215372108	-	0.229	0.229	0.229	0.229	0.133	0.133	0.133	189.15	3.09e-39	-9.600000000000001
inclusion	K	alternative_acceptor	FN1	chr2:215372376-215373321	-	0.795	0.795	0.795	0.795	0.55	0.55	0.55	163.82	7.87e-34	-24.499999999999993
inclusion	N	cassette	RPS24	chr10:78040204-78040225	+	0.403	0.403	0.403	0.403	0.115	0.115	0.115	118.38	5.46e-24	-28.800000000000004
inclusion	K	alternative_first_exon	PABPC4	chr1:39563742-39563835	-	0.84	0.84	0.84	0.84	0.515	0.515	0.515	116.68	1.07e-23	-32.5
inclusion	K	intron_retention	KRT15	chr17:41518462-41521684	-	0.348	0.348	0.348	0.348	0.866	0.866	0.866	113.95	3.62e-23	51.8
inclusion	K	alternative_first_exon	MAGED2	chrX:54807803-54809302	+	0.596	0.596	0.596	0.596	0.144	0.144	0.144	101.43	1.77e-20	-45.199999999999996
inclusion	K	cassette	RPS24	chr10:78040201-78040225	+	0.225	0.225	0.225	0.225	0.053	0.053	0.053	86.58	2.84e-17	-17.2
inclusion	K	intron_retention	BUB3	chr10:123162829-123165046	+	0.461	0.461	0.461	0.461	0.081	0.081	0.081	83.53	1.19e-16	-38.0
