site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:119500018	wtdmso	mtcsc	3	13	9	3	0.07692307692307693	0.006099220771451219
chr10:4972736	wtdmso	mtcsc	5	1	36	90	12.5	0.011102602219688888
chr10:71817018	wtdmso	mtcsc	27	44	201	166	0.5067842605156038	0.013291816252933825
chr10:71818641	wtdmso	mtcsc	23	41	155	131	0.4741148701809599	0.008783837099907356
chr10:95237636	wtdmso	mtcsc	2	16	78	126	0.20192307692307693	0.021605351131922343
chr10:95263872	wtdmso	mtcsc	18	19	35	83	2.2466165413533834	0.046406292808010646
chr11:10797528	wtdmso	mtcsc	1	8	28	24	0.10714285714285714	0.02770439954745536
chr11:1758978	wtdmso	mtcsc	2	13	42	51	0.18681318681318682	0.023474630830740053
chr11:18403758	wtdmso	mtcsc	13	27	94	90	0.46099290780141844	0.036924882557955806
chr11:61965405	wtdmso	mtcsc	5	29	670	1188	0.305712815234174	0.01042977422927165
chr11:61967574	wtdmso	mtcsc	7	37	465	906	0.36861377506538795	0.013888914159639798
chr11:62571004	wtdmso	mtcsc	19	13	277	454	2.395445709525132	0.024558887331649078
chr11:64244716	wtdmso	mtcsc	2	10	47	44	0.18723404255319148	0.030475392796120822
chr11:64245269	wtdmso	mtcsc	27	15	26	44	3.046153846153846	0.006478305472233296
chr11:64319791	wtdmso	mtcsc	9	1	57	100	15.789473684210526	0.0011179952922395658
chr11:65654435	wtdmso	mtcsc	1	11	13	17	0.11888111888111888	0.03612675802274447
chr12:120198915	wtdmso	mtcsc	10	4	799	1133	3.5450563204005006	0.028952655411750704
chr12:120211378	wtdmso	mtcsc	11	20	1	21	11.55	0.008722878516315345
chr12:120440625	wtdmso	mtcsc	29	19	90	116	1.9672514619883041	0.0385044479712041
chr12:120498138	wtdmso	mtcsc	10	4	38	60	3.9473684210526314	0.040096199603293955
chr12:49755706	wtdmso	mtcsc	1	10	41	49	0.11951219512195121	0.02373648300719982
chr12:49759297	wtdmso	mtcsc	3	18	50	63	0.21	0.013656533545843447
chr12:52248853	wtdmso	mtcsc	35	27	192	264	1.7824074074074074	0.04031791321395607
chr12:52490930	wtdmso	mtcsc	2	10	98	104	0.21224489795918366	0.03806263519222319
chr12:52897340	wtdmso	mtcsc	7	1	141	174	8.638297872340425	0.026005163796966203
chr12:52952134	wtdmso	mtcsc	7	30	57	88	0.36023391812865496	0.021312458599173766
chr12:54284711	wtdmso	mtcsc	29	90	48	60	0.4027777777777778	0.0019381036178255607
chr12:56159995	wtdmso	mtcsc	6	5	15	93	7.44	0.003924488420134208
chr12:56643890	wtdmso	mtcsc	31	23	87	120	1.8590704647676162	0.04715863389603145
chr12:57748607	wtdmso	mtcsc	44	18	88	77	2.138888888888889	0.023067902784776946
chr12:6390777	wtdmso	mtcsc	5	12	28	19	0.28273809523809523	0.04769090105353241
chr12:6537788	wtdmso	mtcsc	20	56	701	1148	0.5848787446504993	0.04047651857034471
chr12:6537793	wtdmso	mtcsc	188	380	671	1062	0.7830261196956624	0.01647205090082535
chr12:89348885	wtdmso	mtcsc	4	6	17	4	0.1568627450980392	0.04010688091550886
chr13:27623103	wtdmso	mtcsc	14	38	33	37	0.4130781499202552	0.025570208277027755
chr13:27623311	wtdmso	mtcsc	11	5	40	71	3.905	0.02635972515413987
chr13:45336883	wtdmso	mtcsc	83	84	56	28	0.49404761904761907	0.011054675756188258
chr13:45337293	wtdmso	mtcsc	339	348	292	222	0.7406117146905999	0.012006995447929054
chr14:104770054	wtdmso	mtcsc	7	5	3	19	8.866666666666667	0.01514226465806653
chr14:35314360	wtdmso	mtcsc	4	1	9	38	16.88888888888889	0.011224489795918368
chr15:100915959	wtdmso	mtcsc	4	4	9	48	5.333333333333333	0.044454140693100275
chr15:45691074	wtdmso	mtcsc	4	2	6	22	7.333333333333333	0.047749133023621014
chr15:60347633	wtdmso	mtcsc	8	30	239	374	0.4172942817294282	0.037298103629058575
chr15:60357226	wtdmso	mtcsc	9	5	157	299	3.4280254777070063	0.04218647133769436
chr15:60364436	wtdmso	mtcsc	16	6	133	275	5.513784461152882	0.00027702937610282264
chr15:66499405	wtdmso	mtcsc	29	55	338	398	0.6208714362560517	0.049391902962921896
chr15:69453011	wtdmso	mtcsc	80	94	258	472	1.5569849909285831	0.011327138223010591
chr15:72206761	wtdmso	mtcsc	3	20	115	189	0.2465217391304348	0.02231868382068996
chr15:79322689	wtdmso	mtcsc	7	3	7	31	10.333333333333334	0.0034080122656958783
chr16:11548403	wtdmso	mtcsc	8	2	3	8	10.666666666666666	0.029973122852379817
chr16:1314344	wtdmso	mtcsc	1	20	10	17	0.085	0.013420786408668683
chr16:1962126	wtdmso	mtcsc	40	102	1161	1710	0.5775953792369661	0.0036477521461601463
chr16:1962240	wtdmso	mtcsc	95	190	1146	1661	0.724694589877836	0.015830585516258273
chr16:28735236	wtdmso	mtcsc	6	3	27	72	5.333333333333333	0.02242763040323791
chr16:30067500	wtdmso	mtcsc	166	226	194	355	1.3440835690174253	0.02976190034431247
chr16:30069988	wtdmso	mtcsc	89	98	449	734	1.4846143357120132	0.015456685231147887
chr16:30744118	wtdmso	mtcsc	2	10	10	5	0.1	0.01853696474776028
chr16:58722191	wtdmso	mtcsc	2	16	21	36	0.21428571428571427	0.044364071787578854
chr16:69713055	wtdmso	mtcsc	5	1	55	120	10.909090909090908	0.015828331040411033
chr16:70252724	wtdmso	mtcsc	4	13	28	22	0.24175824175824176	0.02609441918998391
chr16:87830863	wtdmso	mtcsc	24	42	78	70	0.5128205128205128	0.037626850593083024
chr16:87831151	wtdmso	mtcsc	74	92	60	43	0.5764492753623188	0.03326981168114226
chr16:87831267	wtdmso	mtcsc	39	60	61	38	0.40491803278688526	0.002744213222329011
chr17:16382307	wtdmso	mtcsc	4	23	90	162	0.3130434782608696	0.03192981618553494
chr17:16441982	wtdmso	mtcsc	49	85	167	177	0.6109897851356111	0.018889627465663958
chr17:40019372	wtdmso	mtcsc	5	26	34	35	0.19796380090497737	0.0018166017144027673
chr17:41523646	wtdmso	mtcsc	43	68	69	201	1.842071611253197	0.013158569011100511
chr17:41524412	wtdmso	mtcsc	42	51	132	378	2.358288770053476	0.00027810964053110013
chr17:41582339	wtdmso	mtcsc	21	26	489	250	0.412930627654554	0.00415054491661746
chr17:41619590	wtdmso	mtcsc	42	44	373	210	0.5374116500121862	0.008647012201492625
chr17:41621090	wtdmso	mtcsc	1	7	288	151	0.07490079365079365	0.003535334919065601
chr17:41621626	wtdmso	mtcsc	87	35	202	137	1.6858557284299858	0.022238118310683293
chr17:41624240	wtdmso	mtcsc	26	7	97	79	3.0250368188512518	0.012128627643685361
chr17:42128360	wtdmso	mtcsc	2	7	12	6	0.14285714285714285	0.04607170099160947
chr17:44319665	wtdmso	mtcsc	3	1	7	38	16.285714285714285	0.023079537087730563
chr17:50089337	wtdmso	mtcsc	12	1	72	52	8.666666666666666	0.016391892594809894
chr17:75757423	wtdmso	mtcsc	5	18	96	113	0.3269675925925926	0.02801673541060627
chr17:75757773	wtdmso	mtcsc	39	31	63	95	1.8970814132104454	0.0306821665577005
chr17:80119820	wtdmso	mtcsc	15	1	19	12	9.473684210526315	0.03589062280545747
chr17:81868258	wtdmso	mtcsc	1	8	31	32	0.12903225806451613	0.03739933275193468
chr17:81868274	wtdmso	mtcsc	5	16	26	21	0.25240384615384615	0.019314962961168858
chr17:81894541	wtdmso	mtcsc	9	9	6	29	4.833333333333333	0.022386516092869298
chr17:82239047	wtdmso	mtcsc	42	52	59	39	0.5338983050847458	0.04272157401001488
chr18:3255913	wtdmso	mtcsc	2	5	37	16	0.17297297297297298	0.044823601296424216
chr19:1106552	wtdmso	mtcsc	3	18	54	74	0.22839506172839505	0.015508234967947822
chr19:1438833	wtdmso	mtcsc	2	16	191	302	0.19764397905759162	0.023181522679814666
chr19:17516189	wtdmso	mtcsc	5	1	40	71	8.875	0.030730228021312332
