site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio
chr10:100362045	wtdmso	wtcsc	1	2	24	33	0.6875	1.0	chr10	100362045	ENST00000370355.3	ENSG00000099194.6	SCD	0.04	0.05714285714285714	0.01714285714285714
chr10:100362088	wtdmso	wtcsc	1	2	24	37	0.7708333333333334	1.0	chr10	100362088	ENST00000370355.3	ENSG00000099194.6	SCD	0.04	0.05128205128205128	0.01128205128205128
chr10:100362195	wtdmso	wtcsc	10	19	17	20	0.6191950464396285	0.4508379161686211	chr10	100362195	ENST00000370355.3	ENSG00000099194.6	SCD	0.37037037037037035	0.48717948717948717	0.11680911680911682
chr10:100362220	wtdmso	wtcsc	1	3	27	36	0.4444444444444444	0.6345658073270014	chr10	100362220	ENST00000370355.3	ENSG00000099194.6	SCD	0.03571428571428571	0.07692307692307693	0.041208791208791215
chr10:100362338	wtdmso	wtcsc	2	1	30	43	2.8666666666666667	0.5693883357041251	chr10	100362338	ENST00000370355.3	ENSG00000099194.6	SCD	0.0625	0.022727272727272728	-0.03977272727272727
chr10:100362595	wtdmso	wtcsc	1	3	33	47	0.4747474747474747	0.6438327837093634	chr10	100362595	ENST00000370355.3	ENSG00000099194.6	SCD	0.029411764705882353	0.06	0.030588235294117645
chr10:100362647	wtdmso	wtcsc	1	5	39	47	0.241025641025641	0.2277084863375987	chr10	100362647	ENST00000370355.3,flairiso31141-1	ENSG00000099194.6	SCD	0.025	0.09615384615384616	0.07115384615384615
chr10:100362913	wtdmso	wtcsc	4	6	32	56	1.1666666666666667	1.0	chr10	100362913	ENST00000370355.3,flairiso31144-1	ENSG00000099194.6	SCD	0.1111111111111111	0.0967741935483871	-0.01433691756272401
chr10:100363046	wtdmso	wtcsc	6	11	40	57	0.7772727272727272	0.79066284256053	chr10	100363046	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.13043478260869565	0.16176470588235295	0.0313299232736573
chr10:100363097	wtdmso	wtcsc	22	36	34	49	0.880718954248366	0.7303849095292296	chr10	100363097	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.39285714285714285	0.4235294117647059	0.030672268907563027
chr10:100363150	wtdmso	wtcsc	19	33	32	42	0.7556818181818182	0.4676701156560408	chr10	100363150	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.37254901960784315	0.44	0.06745098039215686
chr10:100363246	wtdmso	wtcsc	2	3	54	89	1.0987654320987654	1.0	chr10	100363246	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.03571428571428571	0.03260869565217391	-0.0031055900621118
chr10:100363253	wtdmso	wtcsc	1	4	56	68	0.3035714285714285	0.3824391137154367	chr10	100363253	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.017543859649122806	0.05555555555555555	0.038011695906432746
chr10:100363423	wtdmso	wtcsc	4	6	63	97	1.0264550264550265	1.0	chr10	100363423	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.05970149253731343	0.05825242718446602	-0.0014490653528474104
chr10:100363505	wtdmso	wtcsc	2	3	65	98	1.005128205128205	1.0	chr10	100363505	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31143-1,flairiso31144-1	ENSG00000099194.6	SCD	0.029850746268656716	0.0297029702970297	-0.00014777597162701425
chr10:100363743	wtdmso	wtcsc	8	23	37	49	0.4606345475910693	0.131188059531506	chr10	100363743	ENST00000370355.3	ENSG00000099194.6	SCD	0.17777777777777778	0.3194444444444444	0.14166666666666664
chr10:100363779	wtdmso	wtcsc	6	16	41	47	0.4298780487804878	0.1477797635231882	chr10	100363779	ENST00000370355.3	ENSG00000099194.6	SCD	0.1276595744680851	0.25396825396825395	0.12630867950016886
chr10:100364038	wtdmso	wtcsc	2	3	60	81	0.9	1.0	chr10	100364038	ENST00000370355.3	ENSG00000099194.6	SCD	0.03225806451612903	0.03571428571428571	0.003456221198156681
chr10:100364310	wtdmso	wtcsc	7	18	67	87	0.5049751243781094	0.1896690542346791	chr10	100364310	ENST00000370355.3	ENSG00000099194.6	SCD	0.0945945945945946	0.17142857142857143	0.07683397683397683
chr10:100364322	wtdmso	wtcsc	3	9	76	111	0.4868421052631579	0.3697305314705714	chr10	100364322	ENST00000370355.3	ENSG00000099194.6	SCD	0.0379746835443038	0.075	0.0370253164556962
chr10:100364341	wtdmso	wtcsc	1	2	82	123	0.75	1.0	chr10	100364341	ENST00000370355.3	ENSG00000099194.6	SCD	0.012048192771084338	0.016	0.003951807228915662
chr10:100364392	wtdmso	wtcsc	1	15	39	47	0.0803418803418803	0.0040140717792604	chr10	100364392	ENST00000370355.3	ENSG00000099194.6	SCD	0.025	0.24193548387096775	0.21693548387096775
chr10:100364422	wtdmso	wtcsc	3	13	76	107	0.3248987854251012	0.1084853105044326	chr10	100364422	ENST00000370355.3	ENSG00000099194.6	SCD	0.0379746835443038	0.10833333333333334	0.07035864978902953
chr10:100364475	wtdmso	wtcsc	3	5	85	117	0.8258823529411765	1.0	chr10	100364475	ENST00000370355.3	ENSG00000099194.6	SCD	0.03409090909090909	0.040983606557377046	0.006892697466467958
chr10:100364512	wtdmso	wtcsc	18	40	79	87	0.4955696202531645	0.0317199449720599	chr10	100364512	ENST00000370355.3	ENSG00000099194.6	SCD	0.18556701030927836	0.31496062992125984	0.12939361961198148
chr10:100364569	wtdmso	wtcsc	8	13	70	100	0.8791208791208791	0.8192749231224515	chr10	100364569	ENST00000370355.3	ENSG00000099194.6	SCD	0.10256410256410256	0.11504424778761062	0.012480145223508057
chr10:100364601	wtdmso	wtcsc	6	15	93	116	0.4989247311827957	0.1746789417192698	chr10	100364601	ENST00000370355.3	ENSG00000099194.6	SCD	0.06060606060606061	0.11450381679389313	0.05389775618783252
chr10:100364610	wtdmso	wtcsc	1	3	85	113	0.4431372549019607	0.6379288195076165	chr10	100364610	ENST00000370355.3	ENSG00000099194.6	SCD	0.011627906976744186	0.02586206896551724	0.014234161988773055
chr10:100364725	wtdmso	wtcsc	7	15	86	109	0.5914728682170542	0.3642683013489625	chr10	100364725	ENST00000370355.3	ENSG00000099194.6	SCD	0.07526881720430108	0.12096774193548387	0.0456989247311828
chr10:100523754	wtdmso	wtcsc	1	1	10	15	1.5	1.0	chr10	100523754	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.09090909090909091	0.0625	-0.02840909090909091
chr10:100523800	wtdmso	wtcsc	3	3	20	17	0.85	1.0	chr10	100523800	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.13043478260869565	0.15	0.019565217391304346
chr10:100523926	wtdmso	wtcsc	3	4	19	15	0.5921052631578947	0.6847142639825565	chr10	100523926	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.13636363636363635	0.21052631578947367	0.07416267942583732
chr10:100526522	wtdmso	wtcsc	5	5	22	18	0.8181818181818182	1.0	chr10	100526522	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.18518518518518517	0.21739130434782608	0.032206119162640906
chr10:100526977	wtdmso	wtcsc	4	3	22	20	1.2121212121212122	1.0	chr10	100526977	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.15384615384615385	0.13043478260869565	-0.023411371237458206
chr10:100526987	wtdmso	wtcsc	8	8	18	14	0.7777777777777778	0.7636767359556125	chr10	100526987	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.3076923076923077	0.36363636363636365	0.05594405594405594
chr10:100529402	wtdmso	wtcsc	5	6	21	16	0.6349206349206349	0.731674128962962	chr10	100529402	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.19230769230769232	0.2727272727272727	0.08041958041958039
chr10:100529461	wtdmso	wtcsc	2	3	23	20	0.5797101449275363	0.6601654846335696	chr10	100529461	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.08	0.13043478260869565	0.05043478260869565
chr10:100529494	wtdmso	wtcsc	1	2	24	19	0.3958333333333333	0.5849802371541502	chr10	100529494	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.04	0.09523809523809523	0.05523809523809523
chr10:100529769	wtdmso	wtcsc	1	2	20	14	0.35	0.5675675675675675	chr10	100529769	ENST00000299166.9	ENSG00000166136.16	NDUFB8	0.047619047619047616	0.125	0.07738095238095238
chr10:100986301	wtdmso	wtcsc	1	1	9	13	1.4444444444444444	1.0	chr10	100986301	ENST00000318364.12	ENSG00000055950.16	MRPL43	0.1	0.07142857142857142	-0.02857142857142858
chr10:100986492	wtdmso	wtcsc	4	2	8	11	2.75	0.3782608695652174	chr10	100986492	ENST00000318364.12	ENSG00000055950.16	MRPL43	0.3333333333333333	0.15384615384615385	-0.17948717948717946
chr10:100986541	wtdmso	wtcsc	1	4	11	8	0.1818181818181818	0.3167701863354037	chr10	100986541	ENST00000318364.12	ENSG00000055950.16	MRPL43	0.08333333333333333	0.3333333333333333	0.25
chr10:100986550	wtdmso	wtcsc	2	2	10	10	1.0	1.0	chr10	100986550	ENST00000318364.12	ENSG00000055950.16	MRPL43	0.16666666666666666	0.16666666666666666	0.0
chr10:100986697	wtdmso	wtcsc	6	12	4	1	0.125	0.1268685547861749	chr10	100986697	ENST00000318364.12	ENSG00000055950.16	MRPL43	0.6	0.9230769230769231	0.32307692307692315
chr10:102658024	wtdmso	wtcsc	5	3	5	11	3.6666666666666665	0.2037959348499125	chr10	102658024	ENST00000643721.1	ENSG00000171206.14	TRIM8	0.5	0.21428571428571427	-0.2857142857142857
chr10:103389058	wtdmso	wtcsc	5	4	8	11	1.71875	0.6891304347826088	chr10	103389058	ENST00000309579.7	ENSG00000173915.16	ATP5MD	0.38461538461538464	0.26666666666666666	-0.11794871794871797
chr10:103392371	wtdmso	wtcsc	19	24	22	41	1.4753787878787878	0.4172990960069307	chr10	103392371	ENST00000309579.7,ENST00000337003.4	ENSG00000173915.16	ATP5MD	0.4634146341463415	0.36923076923076925	-0.09418386491557224
chr10:103396438	wtdmso	wtcsc	1	5	15	36	0.48	0.665114759454382	chr10	103396438	ENST00000309579.7	ENSG00000173915.16	ATP5MD	0.0625	0.12195121951219512	0.05945121951219512
chr10:104031404	wtdmso	wtcsc	12	21	76	74	0.556390977443609	0.1780272481519918	chr10	104031404	ENST00000433822.1,ENST00000648076.2	ENSG00000065618.21	COL17A1	0.13636363636363635	0.22105263157894736	0.08468899521531101
chr10:104031464	wtdmso	wtcsc	8	9	64	70	0.9722222222222222	1.0	chr10	104031464	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.1111111111111111	0.11392405063291139	0.002812939521800284
chr10:104031516	wtdmso	wtcsc	11	11	60	76	1.2666666666666666	0.649137390130796	chr10	104031516	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.15492957746478872	0.12643678160919541	-0.028492795855593306
chr10:104031558	wtdmso	wtcsc	25	27	50	58	1.0740740740740742	0.8668104656887087	chr10	104031558	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.3333333333333333	0.3176470588235294	-0.01568627450980392
chr10:104031722	wtdmso	wtcsc	2	17	75	82	0.1286274509803921	0.0024421868953906	chr10	104031722	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.025974025974025976	0.1717171717171717	0.14574314574314573
chr10:104031824	wtdmso	wtcsc	9	17	60	74	0.6529411764705882	0.3916806724721807	chr10	104031824	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.13043478260869565	0.18681318681318682	0.05637840420449117
chr10:104031963	wtdmso	wtcsc	18	25	52	49	0.6784615384615384	0.3628364572057337	chr10	104031963	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.2571428571428571	0.33783783783783783	0.08069498069498071
chr10:104031990	wtdmso	wtcsc	9	15	44	59	0.8045454545454546	0.8186574207120111	chr10	104031990	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.16981132075471697	0.20270270270270271	0.03289138194798574
chr10:104032023	wtdmso	wtcsc	10	13	57	63	0.8502024291497976	0.821132769152804	chr10	104032023	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.14925373134328357	0.17105263157894737	0.021798900235663804
chr10:104032084	wtdmso	wtcsc	7	9	57	59	0.8050682261208577	0.7922843832960635	chr10	104032084	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.109375	0.1323529411764706	0.02297794117647059
chr10:104032126	wtdmso	wtcsc	6	8	52	66	0.9519230769230768	1.0	chr10	104032126	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.10344827586206896	0.10810810810810811	0.00465983224603915
chr10:104032207	wtdmso	wtcsc	12	15	71	75	0.8450704225352113	0.8343511501920526	chr10	104032207	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.14457831325301204	0.16666666666666666	0.022088353413654616
chr10:104032218	wtdmso	wtcsc	6	5	72	85	1.4166666666666667	0.7563752679046941	chr10	104032218	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.07692307692307693	0.05555555555555555	-0.021367521367521375
chr10:104032286	wtdmso	wtcsc	2	9	91	86	0.21001221001221	0.0579249474259761	chr10	104032286	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.021505376344086023	0.09473684210526316	0.07323146576117714
chr10:104032698	wtdmso	wtcsc	12	11	77	73	1.0342384887839433	1.0	chr10	104032698	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.1348314606741573	0.13095238095238096	-0.0038790797217763406
chr10:104032750	wtdmso	wtcsc	4	1	38	37	3.8947368421052633	0.3621536691156944	chr10	104032750	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.09523809523809523	0.02631578947368421	-0.06892230576441102
