inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1C2.S29_mtcsc_b1	M1C3.S37_mtcsc_b1	M2C2.S27_mtcsc_b1	lr	padj	dpsi
inclusion	K	intron_retention	FN1	chr2:215372016-215372108	-	0.229	0.229	0.229	0.229	0.131	0.131	0.131	230.95	7.06e-48	-9.8
inclusion	K	intron_retention	CTNNB1	chr3:41239355-41239818	+	0.353	0.353	0.353	0.353	0.765	0.765	0.765	220.92	5.44e-46	41.2
inclusion	N	cassette	RPS24	chr10:78040204-78040225	+	0.403	0.403	0.403	0.403	0.121	0.121	0.121	138.05	4.54e-28	-28.200000000000003
inclusion	K	alternative_last_exon	GNAS	chr20:58895685-58898940	+	0.117	0.117	0.117	0.117	0.316	0.316	0.316	132.68	5.08e-27	19.9
inclusion	K	cassette	SMARCA1	chrX:129493040-129493075	-	0.969	0.969	0.969	0.969	0.45	0.45	0.45	120.78	1.63e-24	-51.89999999999999
inclusion	N	cassette	SEC31A	chr4:82862534-82862572	-	0.436	0.436	0.436	0.436	0.73	0.73	0.73	94.69	7.09e-19	29.4
inclusion	K	cassette	RPS24	chr10:78040201-78040225	+	0.224	0.224	0.224	0.224	0.056	0.056	0.056	93.88	9.17e-19	-16.8
inclusion	N	alternative_last_exon	MACROH2A1	chr5:135353046-135360496	-	0.619	0.619	0.619	0.619	0.883	0.883	0.883	88.66	1.12e-17	26.4
inclusion	K	cassette	CSNK1G3	chr5:123605339-123605362	+	0.499	0.499	0.499	0.499	0.093	0.093	0.093	87.08	2.22e-17	-40.599999999999994
inclusion	K	alternative_last_exon	ITGA6	chr2:172498101-172501771	+	0.945	0.945	0.945	0.945	0.707	0.707	0.707	85.19	5.18e-17	-23.799999999999997
inclusion	K	alternative_first_exon	MAGED2	chrX:54807803-54809302	+	0.595	0.595	0.595	0.595	0.18	0.18	0.18	81.45	3.13e-16	-41.5
inclusion	K	alternative_acceptor	FN1	chr2:215372376-215373321	-	0.795	0.795	0.795	0.795	0.589	0.589	0.589	81.26	3.16e-16	-20.6
