site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio	delta_prob
chr10:104031722	wtdmso	mtdmso	2	12	75	54	0.12	0.0032655435796927	chr10	104031722	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.025974025974025976	0.18181818181818182	0.15584415584415584	0.3630618237921403
chr10:104032207	wtdmso	mtdmso	12	1	71	45	7.605633802816901	0.0315666634538332	chr10	104032207	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.14457831325301204	0.021739130434782608	-0.12283918281822943	-0.2389938355779376
chr10:122514442	wtdmso	mtdmso	19	34	69	60	0.4859335038363171	0.0346032870896416	chr10	122514442	ENST00000368984.8,ENST00000420892.1,flairiso31289-1	ENSG00000166033.13	HTRA1	0.2159090909090909	0.3617021276595745	0.14579303675048358	0.1757137865898421
chr10:4972594	wtdmso	mtdmso	9	4	38	62	3.6710526315789473	0.0393771349658189	chr10	4972594	ENST00000380872.9,flairiso30549-1,flairiso30550-1,flairiso30552-1	ENSG00000187134.14	AKR1C1	0.19148936170212766	0.06060606060606061	-0.13088330109606705	-0.2353284537129903
chr11:10797528	wtdmso	mtdmso	1	7	28	14	0.0714285714285714	0.0066599966305234	chr11	10797528	ENST00000339995.10,flairiso31629-1,flairiso31630-1,flairiso31631-1	ENSG00000110321.17	EIF4G2	0.034482758620689655	0.3333333333333333	0.29885057471264365	-0.1068502299503263
chr11:62881033	wtdmso	mtdmso	11	8	33	2	0.0833333333333333	0.0020181971868914	chr11	62881033	ENST00000338663.11,flairiso32194-1	ENSG00000168003.16	SLC3A2	0.25	0.8	0.55	-0.1254736341397881
chr11:64319791	wtdmso	mtdmso	9	1	57	68	10.736842105263158	0.0078844287960924	chr11	64319791	ENST00000265462.9	ENSG00000126432.14	PRDX5	0.13636363636363635	0.014492753623188406	-0.12187088274044795	-0.1141275394123074
chr11:6611420	wtdmso	mtdmso	4	10	35	21	0.24	0.0342560485159769	chr11	6611420	ENST00000299424.9	ENSG00000166337.10	TAF10	0.10256410256410256	0.3225806451612903	0.22001654259718775	0.1546449118741793
chr11:66277432	wtdmso	mtdmso	8	3	27	45	4.444444444444445	0.0463063669814517	chr11	66277432	ENST00000311481.11,flairiso32395-1,flairiso32396-1,flairiso32397-1	ENSG00000174903.16	RAB1B	0.22857142857142856	0.0625	-0.16607142857142856	-0.3475841923950142
chr11:66277432	wtdmso	mtdmso	8	3	27	45	4.444444444444445	0.0463063669814517	chr11	66277432	ENST00000311481.11,flairiso32395-1,flairiso32396-1,flairiso32397-1	ENSG00000254452.1	AP001107.2	0.22857142857142856	0.0625	-0.16607142857142856	-0.3475841923950142
