inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1C2.S29_mtcsc_b1	M1C3.S37_mtcsc_b1	M2C2.S27_mtcsc_b1	lr	padj	dpsi
inclusion	K	alternative_acceptor	ABCB7	chrX:75114835-75156104	-	0.234530062094338	0.234530062094338	0.234530062094338	0.234530062094338	0.232183874707672	0.232183874707672	0.232183874707672	0.00158707775040057	1	-0.234618738666601
inclusion	K	alternative_acceptor	ABCE1	chr4:145098420-145104385	+	0.802839646798004	0.802839646798004	0.802839646798004	0.802839646798004	0.793218317159273	0.793218317159273	0.793218317159273	0.0572454394432498	1	-0.9621329638731027
inclusion	K	alternative_acceptor	ABI2	chr2:203328632-203366876	+	0.944959374803161	0.944959374803161	0.944959374803161	0.944959374803161	0.907701669751455	0.907701669751455	0.907701669751455	1.49970911895252	1	-3.725770505170601
inclusion	K	alternative_acceptor	ABI2	chr2:203394847-203395655	+	0.760386298243365	0.760386298243365	0.760386298243365	0.760386298243365	0.773836387303552	0.773836387303552	0.773836387303552	0.113873467521444	1	1.3450089060187054
inclusion	K	alternative_acceptor	AC004241.1	chr12:47719273-47719599	+	0.17414031298847	0.17414031298847	0.17414031298847	0.17414031298847	0.319146043550737	0.319146043550737	0.319146043550737	2.29045998229134	1	14.500573056226699
inclusion	K	alternative_acceptor	AC005258.1	chr19:2339209-2339823	+	0.638650233049881	0.638650233049881	0.638650233049881	0.638650233049881	0.740231618038138	0.740231618038138	0.740231618038138	1.43300346136778	1	10.158138498825693
inclusion	K	alternative_acceptor	AC005520.3	chr14:73904111-73904901	+	0.970223936464579	0.970223936464579	0.970223936464579	0.970223936464579	0.932245623487126	0.932245623487126	0.932245623487126	2.17239162428359	1	-3.79783129774529
inclusion	K	alternative_acceptor	AC011462.1	chr19:41423170-41424437	+	0.957762899781063	0.957762899781063	0.957762899781063	0.957762899781063	0.953972189103132	0.953972189103132	0.953972189103132	0.0494523163451959	1	-0.37907106779310595
inclusion	K	alternative_acceptor	AC011511.1	chr19:10310643-10310852	-	0.923557754078282	0.923557754078282	0.923557754078282	0.923557754078282	0.851793278678857	0.851793278678857	0.851793278678857	6.56005002212078	1	-7.176447539942501
inclusion	K	alternative_acceptor	AC022966.1	chr17:78797903-78798399	-	0.364730633070441	0.364730633070441	0.364730633070441	0.364730633070441	0.232196369807067	0.232196369807067	0.232196369807067	4.84699277922573	1	-13.2534263263374
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753671-1753802	-	0.918034041632913	0.918034041632913	0.918034041632913	0.918034041632913	0.978167699454879	0.978167699454879	0.978167699454879	1.58229249020224	1	6.013365782196601
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753902-1753993	-	0.993280211809231	0.993280211809231	0.993280211809231	0.993280211809231	0.993582346882778	0.993582346882778	0.993582346882778	0.00452778605540516	1	0.030213507354702074
inclusion	K	alternative_acceptor	AC078927.1	chr12:66153449-66169854	-	0.947807184383669	0.947807184383669	0.947807184383669	0.947807184383669	0.98588529760217	0.98588529760217	0.98588529760217	4.41406351320393	1	3.80781132185011
inclusion	K	alternative_acceptor	AC097634.4	chr3:70977723-70977827	-	0.511691421098653	0.511691421098653	0.511691421098653	0.511691421098653	0.444819283763008	0.444819283763008	0.444819283763008	0.812497016775978	1	-6.687213733564498
inclusion	K	alternative_acceptor	AC109460.3	chr16:28975101-28975183	+	0.845767237525148	0.845767237525148	0.845767237525148	0.845767237525148	0.856058998116218	0.856058998116218	0.856058998116218	0.06589180422543	1	1.0291760591069874
inclusion	K	alternative_acceptor	AC118549.1	chr1:77581892-77581978	-	0.408131194875846	0.408131194875846	0.408131194875846	0.408131194875846	0.37506123422127	0.37506123422127	0.37506123422127	0.101782896807094	1	-3.3069960654575965
inclusion	K	alternative_acceptor	AC244153.1	chr17:38451526-38451625	-	0.252633229815448	0.252633229815448	0.252633229815448	0.252633229815448	0.336967519369305	0.336967519369305	0.336967519369305	1.38743024851124	1	8.433428955385704
inclusion	K	alternative_acceptor	AC244153.1	chr17:38451828-38452317	-	0.961700890287228	0.961700890287228	0.961700890287228	0.961700890287228	0.898097366869452	0.898097366869452	0.898097366869452	2.85228079765488	1	-6.360352341777599
inclusion	K	alternative_acceptor	AC245041.2	chr10:47987310-47991679	-	0.957259314647323	0.957259314647323	0.957259314647323	0.957259314647323	0.795263627630878	0.795263627630878	0.795263627630878	15.572122631067	1	-16.199568701644495
inclusion	K	alternative_acceptor	ACAD11	chr3:132579057-132579491	-	0.063933220136437	0.063933220136437	0.063933220136437	0.063933220136437	0.0179564561094173	0.0179564561094173	0.0179564561094173	3.79786622325855	1	-4.597676402701969
inclusion	K	alternative_acceptor	ACADVL	chr17:7220198-7220463	+	0.987847049794302	0.987847049794302	0.987847049794302	0.987847049794302	0.987405401126142	0.987405401126142	0.987405401126142	0.00188581173460989	1	-0.04416486681600418
inclusion	K	alternative_acceptor	ACADVL	chr17:7224394-7224479	+	0.952462030879271	0.952462030879271	0.952462030879271	0.952462030879271	0.959471631119321	0.959471631119321	0.959471631119321	0.329783480337937	1	0.7009600240049991
inclusion	K	alternative_acceptor	ACD	chr16:67660046-67660121	-	0.880421529701586	0.880421529701586	0.880421529701586	0.880421529701586	0.91053532994134	0.91053532994134	0.91053532994134	0.727772456747971	1	3.0113800239753914
inclusion	K	alternative_acceptor	ACLY	chr17:41913901-41918879	-	0.0948832655133446	0.0948832655133446	0.0948832655133446	0.0948832655133446	0.124641079261618	0.124641079261618	0.124641079261618	2.11612168870488	1	2.9757813748273403
inclusion	K	alternative_acceptor	ACOT8	chr20:45843773-45844262	-	0.0558852049233349	0.0558852049233349	0.0558852049233349	0.0558852049233349	0.0365233032392398	0.0365233032392398	0.0365233032392398	1.50632010947265	1	-1.9361901684095102
inclusion	K	alternative_acceptor	ADAM15	chr1:155051466-155052670	+	0.981639528399545	0.981639528399545	0.981639528399545	0.981639528399545	0.981369388660575	0.981369388660575	0.981369388660575	0.000840229979075957	1	-0.027013973896998777
inclusion	K	alternative_acceptor	ADAM17	chr2:9526265-9527785	-	0.0425653121207343	0.0425653121207343	0.0425653121207343	0.0425653121207343	0.012890807454664	0.012890807454664	0.012890807454664	3.52144516071439	1	-2.96745046660703
inclusion	K	alternative_acceptor	ADAMTSL5	chr19:1510734-1510844	-	0.223285231732979	0.223285231732979	0.223285231732979	0.223285231732979	0.206206874238484	0.206206874238484	0.206206874238484	0.0468113729216384	1	-1.7078357494495044
inclusion	K	alternative_acceptor	ADAP1	chr7:900617-904125	-	0.935304687196744	0.935304687196744	0.935304687196744	0.935304687196744	0.915418745236823	0.915418745236823	0.915418745236823	0.381056676953449	1	-1.988594195992107
inclusion	K	alternative_acceptor	ADAR	chr1:154596996-154597122	-	0.982341363867028	0.982341363867028	0.982341363867028	0.982341363867028	0.944113094762888	0.944113094762888	0.944113094762888	9.13844372849053	1	-3.8228269104140082
inclusion	K	alternative_acceptor	ADCY3	chr2:24826130-24827545	-	0.0279311262776458	0.0279311262776458	0.0279311262776458	0.0279311262776458	0.0307640774610121	0.0307640774610121	0.0307640774610121	0.030185715198968	1	0.2832951183366301
inclusion	K	alternative_acceptor	ADCY3	chr2:24828162-24830708	-	0.850055849474137	0.850055849474137	0.850055849474137	0.850055849474137	0.871624970829711	0.871624970829711	0.871624970829711	0.364390443743105	1	2.1569121355573913
inclusion	K	alternative_acceptor	ADGRG1	chr16:57650352-57651199	+	0.905531332938877	0.905531332938877	0.905531332938877	0.905531332938877	0.957679734220686	0.957679734220686	0.957679734220686	7.95224611569574	1	5.214840128180896
inclusion	K	alternative_acceptor	ADGRG1	chr16:57657492-57659394	+	0.204536185549708	0.204536185549708	0.204536185549708	0.204536185549708	0.265829758706868	0.265829758706868	0.265829758706868	2.55453616798331	1	6.129357315715996
inclusion	K	alternative_acceptor	ADGRL1	chr19:14152223-14152308	-	0.0961131966253518	0.0961131966253518	0.0961131966253518	0.0961131966253518	0.153719641858146	0.153719641858146	0.153719641858146	0.666201225858799	1	5.760644523279419
inclusion	K	alternative_acceptor	AFDN	chr6:167864747-167870382	+	0.418967588409978	0.418967588409978	0.418967588409978	0.418967588409978	0.359961155598725	0.359961155598725	0.359961155598725	1.53073016180679	1	-5.900643281125298
