inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	W1C2.S25_wtcsc_b1	W1C3.S33_wtcsc_b1	W2C2.S23_wtcsc_b1	lr	padj	dpsi
inclusion	N	alternative_donor	ITGB4	chr17:75743751-75748954	+	0.115	0.115	0.115	0.115	0.667	0.667	0.667	67.78	3.85e-12	55.2
inclusion	N	alternative_acceptor	nogene	chr3:51990011-51993627	.	0.052	0.052	0.052	0.052	0.766	0.766	0.766	55.63	9.18e-10	71.39999999999999
inclusion	N	alternative_donor	LINC00623	chr1:120912325-120952438	+	0.043	0.043	0.043	0.043	0.385	0.385	0.385	28.72	0.000584	34.2
inclusion	N	alternative_acceptor	nogene	chr5:177322448-177331565	.	0.819	0.819	0.819	0.819	0.183	0.183	0.183	27.76	0.000723	-63.599999999999994
inclusion	N	intron_retention	nogene	chr6:29944180-30261261	+	0.993	0.993	0.993	0.993	0.822	0.822	0.822	26.18	0.0013	-17.10000000000001
inclusion	N	cassette	MYO18A	chr17:29085604-29085648	-	0.675	0.675	0.675	0.675	0.464	0.464	0.464	24.29	0.0029	-21.099999999999994
inclusion	N	alternative_donor	MIR205HG	chr1:209429089-209429180	+	0.714	0.714	0.714	0.714	0.916	0.916	0.916	21.72	0.00827	20.200000000000017
inclusion	N	alternative_donor	nogene	chr1:209428409-209429180	+	0.284	0.284	0.284	0.284	0.083	0.083	0.083	21.76	0.00827	-20.099999999999998
inclusion	N	alternative_donor	SQSTM1	chr5:179836666-179837716	+	0.526	0.526	0.526	0.526	0.811	0.811	0.811	21.32	0.00905	28.500000000000007
inclusion	K	cassette	MACF1	chr1:39465095-39465112	+	0.51	0.51	0.51	0.51	0.293	0.293	0.293	20.2	0.0146	-21.700000000000003
inclusion	N	alternative_donor	IRF3	chr19:49663259-49665630	-	0.137	0.137	0.137	0.137	0.509	0.509	0.509	17.84	0.0458	37.199999999999996
