site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:100361831	wtdmso	mtdmso	1	1	20	25	1.25	1.0
chr10:100362195	wtdmso	mtdmso	10	9	17	27	1.7647058823529411	0.40685173407898806
chr10:100362220	wtdmso	mtdmso	1	1	27	36	1.3333333333333333	1.0
chr10:100362647	wtdmso	mtdmso	1	3	39	42	0.358974358974359	0.6186261751247661
chr10:100362752	wtdmso	mtdmso	1	2	32	43	0.671875	1.0
chr10:100362913	wtdmso	mtdmso	4	6	32	43	0.8958333333333334	1.0
chr10:100363046	wtdmso	mtdmso	6	10	40	65	0.975	1.0
chr10:100363097	wtdmso	mtdmso	22	28	34	62	1.4327731092436975	0.3706747820636763
chr10:100363150	wtdmso	mtdmso	19	38	32	29	0.453125	0.04219344923457836
chr10:100363246	wtdmso	mtdmso	2	3	54	82	1.0123456790123457	1.0
chr10:100363253	wtdmso	mtdmso	1	2	56	66	0.5892857142857143	1.0
chr10:100363423	wtdmso	mtdmso	4	10	63	87	0.5523809523809524	0.4030616644484576
chr10:100363743	wtdmso	mtdmso	8	13	37	45	0.7484407484407485	0.628040744630656
chr10:100363779	wtdmso	mtdmso	6	9	41	52	0.8455284552845529	1.0
chr10:100363945	wtdmso	mtdmso	1	1	51	65	1.2745098039215685	1.0
chr10:100364038	wtdmso	mtdmso	2	1	60	67	2.2333333333333334	0.6052213774597496
chr10:100364310	wtdmso	mtdmso	7	8	67	67	0.875	1.0
chr10:100364322	wtdmso	mtdmso	3	2	76	84	1.6578947368421053	0.6711013659923615
chr10:100364341	wtdmso	mtdmso	1	5	82	88	0.2146341463414634	0.21528133115944473
chr10:100364392	wtdmso	mtdmso	1	1	39	23	0.5897435897435898	1.0
chr10:100364422	wtdmso	mtdmso	3	9	76	81	0.35526315789473684	0.14193900235732537
chr10:100364475	wtdmso	mtdmso	3	3	85	96	1.1294117647058823	1.0
chr10:100364512	wtdmso	mtdmso	18	21	79	76	0.8245931283905967	0.7204701157533744
chr10:100364569	wtdmso	mtdmso	8	14	70	71	0.5795918367346938	0.26243363559237964
chr10:100364601	wtdmso	mtdmso	6	10	93	92	0.5935483870967742	0.4362460376627225
chr10:100364610	wtdmso	mtdmso	1	1	85	90	1.0588235294117647	1.0
chr10:100364650	wtdmso	mtdmso	1	1	94	94	1.0	1.0
chr10:100364725	wtdmso	mtdmso	7	12	86	85	0.5765503875968992	0.33591351510195805
chr10:100523800	wtdmso	mtdmso	3	2	20	19	1.425	1.0
chr10:100523926	wtdmso	mtdmso	3	2	19	15	1.1842105263157894	1.0
chr10:100526522	wtdmso	mtdmso	5	1	22	23	5.2272727272727275	0.19521595872391506
chr10:100526977	wtdmso	mtdmso	4	4	22	20	0.9090909090909091	1.0
chr10:100526987	wtdmso	mtdmso	8	7	18	15	0.9523809523809523	1.0
chr10:100529402	wtdmso	mtdmso	5	6	21	16	0.6349206349206349	0.731674128962962
chr10:100529494	wtdmso	mtdmso	1	1	24	20	0.8333333333333334	1.0
chr10:100529769	wtdmso	mtdmso	1	2	20	14	0.35	0.5675675675675675
chr10:103389058	wtdmso	mtdmso	5	3	8	7	1.4583333333333333	1.0
