site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:100363150	wtdmso	mtdmso	19	38	32	29	0.453125	0.04219344923457836
chr10:104031722	wtdmso	mtdmso	2	12	75	54	0.12	0.0032655435796927644
chr10:104032207	wtdmso	mtdmso	12	1	71	45	7.605633802816901	0.031566663453833216
chr10:122514442	wtdmso	mtdmso	19	34	69	60	0.4859335038363171	0.034603287089641624
chr10:4972594	wtdmso	mtdmso	9	4	38	62	3.6710526315789473	0.03937713496581899
chr10:71817018	wtdmso	mtdmso	27	39	201	140	0.48220436280137774	0.009684133606235039
chr10:95237636	wtdmso	mtdmso	2	14	78	107	0.19597069597069597	0.030237598551492644
chr11:10797528	wtdmso	mtdmso	1	7	28	14	0.07142857142857142	0.006659996630523489
chr11:61967390	wtdmso	mtdmso	77	76	458	694	1.5352217880946908	0.014218582113315911
chr11:61967501	wtdmso	mtdmso	92	101	379	579	1.391572402622848	0.04465983678161991
chr11:61967574	wtdmso	mtdmso	7	25	465	680	0.40946236559139787	0.04276812984388031
chr11:62567426	wtdmso	mtdmso	16	42	347	443	0.48634554686427883	0.018791507881327423
chr11:62881033	wtdmso	mtdmso	11	8	33	2	0.08333333333333333	0.0020181971868914426
chr11:64319791	wtdmso	mtdmso	9	1	57	68	10.736842105263158	0.007884428796092411
chr11:6611420	wtdmso	mtdmso	4	10	35	21	0.24	0.03425604851597695
chr11:66277432	wtdmso	mtdmso	8	3	27	45	4.444444444444445	0.04630636698145172
chr11:75404091	wtdmso	mtdmso	30	20	540	713	1.9805555555555556	0.020086103067961186
chr11:75405661	wtdmso	mtdmso	2	13	472	597	0.19458930899608864	0.01768213532189203
chr11:8684770	wtdmso	mtdmso	20	7	721	658	2.60748959778086	0.031020557782220376
chr12:110445467	wtdmso	mtdmso	2	9	13	9	0.15384615384615385	0.03417686318131258
chr12:120198677	wtdmso	mtdmso	294	403	480	512	0.7781637717121588	0.013119003222363954
chr12:120211378	wtdmso	mtdmso	11	7	1	15	23.571428571428573	0.0011091228579258757
chr12:120438515	wtdmso	mtdmso	20	4	107	102	4.766355140186916	0.004038813836854392
chr12:120440625	wtdmso	mtdmso	29	15	90	94	2.0192592592592593	0.04556055261519128
chr12:124912369	wtdmso	mtdmso	6	1	294	405	8.26530612244898	0.04596342023067562
chr12:124912458	wtdmso	mtdmso	27	59	288	373	0.5926906779661016	0.036397278423847323
chr12:49759297	wtdmso	mtdmso	3	15	50	57	0.228	0.020086981726620365
chr12:52248640	wtdmso	mtdmso	9	2	227	235	4.658590308370044	0.03621269578036254
chr12:52490930	wtdmso	mtdmso	2	8	98	75	0.1913265306122449	0.04489441657143764
chr12:54284711	wtdmso	mtdmso	29	86	48	56	0.39341085271317827	0.0017397601959739015
chr12:56159995	wtdmso	mtdmso	6	3	15	53	7.066666666666666	0.010506643680313454
chr12:6390777	wtdmso	mtdmso	5	9	28	10	0.1984126984126984	0.02139870647259797
chr12:6536567	wtdmso	mtdmso	15	8	541	722	2.5023105360443623	0.03512526117602559
chr12:89348885	wtdmso	mtdmso	4	6	17	4	0.1568627450980392	0.04010688091550886
chr13:21146825	wtdmso	mtdmso	3	7	44	21	0.20454545454545456	0.033868778781208614
chr13:27623311	wtdmso	mtdmso	11	4	40	51	3.50625	0.04998829547628351
chr13:45336883	wtdmso	mtdmso	83	81	56	29	0.5306437389770723	0.022796795997088067
chr13:45337293	wtdmso	mtdmso	339	313	292	186	0.6898989014836535	0.0024452558095077567
chr14:104770054	wtdmso	mtdmso	7	3	3	11	8.555555555555555	0.03514941445685826
chr14:49618877	wtdmso	mtdmso	1	7	32	22	0.09821428571428571	0.02060929016784987
chr15:100915959	wtdmso	mtdmso	4	1	9	33	14.666666666666666	0.016687104245996752
chr15:60364436	wtdmso	mtdmso	16	7	133	211	3.6262083780880774	0.004286653653556532
chr15:60364490	wtdmso	mtdmso	6	24	72	105	0.3645833333333333	0.04051907918656829
chr15:69455222	wtdmso	mtdmso	7	1	275	313	7.967272727272727	0.029831347014687055
chr15:79322442	wtdmso	mtdmso	7	2	10	24	8.4	0.01791297393888671
chr15:79322689	wtdmso	mtdmso	7	2	7	22	11.0	0.006265233574731228
chr16:11548403	wtdmso	mtdmso	8	2	3	8	10.666666666666666	0.029973122852379817
chr16:1962126	wtdmso	mtdmso	40	82	1161	1375	0.5777189554841284	0.005089837035630069
chr16:1962240	wtdmso	mtdmso	95	158	1146	1312	0.6883601740782469	0.00650595812471531
chr16:1962652	wtdmso	mtdmso	35	62	1263	1460	0.6525681301560544	0.04894085090766156
chr16:3021271	wtdmso	mtdmso	12	11	86	28	0.35517970401691334	0.04029181627772653
chr16:56682516	wtdmso	mtdmso	25	28	194	107	0.49245213549337263	0.021176911449025098
chr16:58722191	wtdmso	mtdmso	2	17	21	31	0.17366946778711484	0.021675084936036978
chr16:70252724	wtdmso	mtdmso	4	10	28	12	0.17142857142857143	0.010847123800209874
