inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	W1C2.S25_wtcsc_b1	W1C3.S33_wtcsc_b1	W2C2.S23_wtcsc_b1	lr	padj	dpsi
inclusion	K	alternative_acceptor	ABCB7	chrX:75114835-75156104	-	0.238247025470468	0.238247025470468	0.238247025470468	0.238247025470468	0.227167271398443	0.227167271398443	0.227167271398443	0.0245080435404361	1	-1.107975407202499
inclusion	K	alternative_acceptor	ABCE1	chr4:145098420-145104385	+	0.802470543314334	0.802470543314334	0.802470543314334	0.802470543314334	0.820099142229559	0.820099142229559	0.820099142229559	0.19181135731651	1	1.7628598915224956
inclusion	K	alternative_acceptor	ABI2	chr2:203328632-203366876	+	0.941223492334858	0.941223492334858	0.941223492334858	0.941223492334858	0.94200998453976	0.94200998453976	0.94200998453976	0.000481950441553636	1	0.07864922049019185
inclusion	K	alternative_acceptor	ABI2	chr2:203394847-203395655	+	0.759406064726964	0.759406064726964	0.759406064726964	0.759406064726964	0.734029751137011	0.734029751137011	0.734029751137011	0.31470437232656	1	-2.5376313589952986
inclusion	K	alternative_acceptor	AC005258.1	chr19:2339209-2339823	+	0.638230802085005	0.638230802085005	0.638230802085005	0.638230802085005	0.716345931849653	0.716345931849653	0.716345931849653	0.80527995501825	1	7.81151297646479
inclusion	K	alternative_acceptor	AC005520.3	chr14:73904111-73904901	+	0.968522490130165	0.968522490130165	0.968522490130165	0.968522490130165	0.950619682245404	0.950619682245404	0.950619682245404	0.488344128330027	1	-1.790280788476096
inclusion	K	alternative_acceptor	AC011462.1	chr19:41423170-41424437	+	0.95867997835218	0.95867997835218	0.95867997835218	0.95867997835218	0.954014387166875	0.954014387166875	0.954014387166875	0.088726187352222	1	-0.4665591185304976
inclusion	K	alternative_acceptor	AC011511.1	chr19:10310643-10310852	-	0.915015746238214	0.915015746238214	0.915015746238214	0.915015746238214	0.976033358237271	0.976033358237271	0.976033358237271	4.51055697432912	1	6.101761199905695
inclusion	K	alternative_acceptor	AC015813.2	chr17:57989270-57989648	-	0.557728264801804	0.557728264801804	0.557728264801804	0.557728264801804	0.672474419518766	0.672474419518766	0.672474419518766	0.79042057966285	1	11.47461547169619
inclusion	K	alternative_acceptor	AC022966.1	chr17:78797903-78798399	-	0.363735395905332	0.363735395905332	0.363735395905332	0.363735395905332	0.306415997441057	0.306415997441057	0.306415997441057	1.05297733887392	1	-5.7319398464274975
inclusion	K	alternative_acceptor	AC025263.2	chr12:69801722-69812777	+	0.901023231193794	0.901023231193794	0.901023231193794	0.901023231193794	0.695469787115739	0.695469787115739	0.695469787115739	3.55697424099452	1	-20.555344407805507
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753671-1753802	-	0.929820766515168	0.929820766515168	0.929820766515168	0.929820766515168	0.982422464714354	0.982422464714354	0.982422464714354	1.73789030710759	1	5.260169819918616
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753902-1753993	-	0.993105032846337	0.993105032846337	0.993105032846337	0.993105032846337	0.993774299383751	0.993774299383751	0.993774299383751	0.0218223665069672	1	0.06692665374140461
inclusion	K	alternative_acceptor	AC068580.4	chr11:1759640-1761308	-	0.991327541965503	0.991327541965503	0.991327541965503	0.991327541965503	0.990876473286673	0.990876473286673	0.990876473286673	0.00643798345845426	1	-0.045106867882992674
inclusion	K	alternative_acceptor	AC078927.1	chr12:66153449-66169854	-	0.948188245629505	0.948188245629505	0.948188245629505	0.948188245629505	0.991515376073938	0.991515376073938	0.991515376073938	7.97854361740247	1	4.3327130444433095
