site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue
chr10:100362045	wtdmso	wtcsc	1	2	24	33	0.6875	1.0
chr10:100362088	wtdmso	wtcsc	1	2	24	37	0.7708333333333334	1.0
chr10:100362195	wtdmso	wtcsc	10	19	17	20	0.6191950464396285	0.4508379161686211
chr10:100362220	wtdmso	wtcsc	1	3	27	36	0.4444444444444444	0.6345658073270014
chr10:100362338	wtdmso	wtcsc	2	1	30	43	2.8666666666666667	0.5693883357041251
chr10:100362595	wtdmso	wtcsc	1	3	33	47	0.47474747474747475	0.6438327837093634
chr10:100362647	wtdmso	wtcsc	1	5	39	47	0.24102564102564103	0.22770848633759877
chr10:100362913	wtdmso	wtcsc	4	6	32	56	1.1666666666666667	1.0
chr10:100363046	wtdmso	wtcsc	6	11	40	57	0.7772727272727272	0.79066284256053
chr10:100363097	wtdmso	wtcsc	22	36	34	49	0.880718954248366	0.7303849095292296
chr10:100363150	wtdmso	wtcsc	19	33	32	42	0.7556818181818182	0.4676701156560408
chr10:100363246	wtdmso	wtcsc	2	3	54	89	1.0987654320987654	1.0
chr10:100363253	wtdmso	wtcsc	1	4	56	68	0.30357142857142855	0.3824391137154367
chr10:100363423	wtdmso	wtcsc	4	6	63	97	1.0264550264550265	1.0
chr10:100363505	wtdmso	wtcsc	2	3	65	98	1.005128205128205	1.0
chr10:100363743	wtdmso	wtcsc	8	23	37	49	0.4606345475910693	0.13118805953150608
chr10:100363779	wtdmso	wtcsc	6	16	41	47	0.4298780487804878	0.14777976352318822
chr10:100364038	wtdmso	wtcsc	2	3	60	81	0.9	1.0
chr10:100364310	wtdmso	wtcsc	7	18	67	87	0.5049751243781094	0.1896690542346791
chr10:100364322	wtdmso	wtcsc	3	9	76	111	0.4868421052631579	0.36973053147057144
chr10:100364341	wtdmso	wtcsc	1	2	82	123	0.75	1.0
chr10:100364392	wtdmso	wtcsc	1	15	39	47	0.08034188034188035	0.004014071779260452
chr10:100364422	wtdmso	wtcsc	3	13	76	107	0.3248987854251012	0.10848531050443262
chr10:100364475	wtdmso	wtcsc	3	5	85	117	0.8258823529411765	1.0
chr10:100364512	wtdmso	wtcsc	18	40	79	87	0.49556962025316453	0.031719944972059995
chr10:100364569	wtdmso	wtcsc	8	13	70	100	0.8791208791208791	0.8192749231224515
chr10:100364601	wtdmso	wtcsc	6	15	93	116	0.4989247311827957	0.17467894171926987
chr10:100364610	wtdmso	wtcsc	1	3	85	113	0.44313725490196076	0.6379288195076165
chr10:100364725	wtdmso	wtcsc	7	15	86	109	0.5914728682170542	0.3642683013489625
chr10:100523754	wtdmso	wtcsc	1	1	10	15	1.5	1.0
chr10:100523800	wtdmso	wtcsc	3	3	20	17	0.85	1.0
chr10:100523926	wtdmso	wtcsc	3	4	19	15	0.5921052631578947	0.6847142639825565
chr10:100526522	wtdmso	wtcsc	5	5	22	18	0.8181818181818182	1.0
chr10:100526977	wtdmso	wtcsc	4	3	22	20	1.2121212121212122	1.0
chr10:100526987	wtdmso	wtcsc	8	8	18	14	0.7777777777777778	0.7636767359556125
chr10:100529402	wtdmso	wtcsc	5	6	21	16	0.6349206349206349	0.731674128962962
chr10:100529461	wtdmso	wtcsc	2	3	23	20	0.5797101449275363	0.6601654846335696
chr10:100529494	wtdmso	wtcsc	1	2	24	19	0.3958333333333333	0.5849802371541502
chr10:100529769	wtdmso	wtcsc	1	2	20	14	0.35	0.5675675675675675
chr10:100986301	wtdmso	wtcsc	1	1	9	13	1.4444444444444444	1.0
chr10:100986492	wtdmso	wtcsc	4	2	8	11	2.75	0.37826086956521743
chr10:100986541	wtdmso	wtcsc	1	4	11	8	0.18181818181818182	0.3167701863354037
chr10:100986550	wtdmso	wtcsc	2	2	10	10	1.0	1.0
chr10:100986697	wtdmso	wtcsc	6	12	4	1	0.125	0.1268685547861749
chr10:102658024	wtdmso	wtcsc	5	3	5	11	3.6666666666666665	0.20379593484991254
chr10:103389058	wtdmso	wtcsc	5	4	8	11	1.71875	0.6891304347826088
chr10:103392371	wtdmso	wtcsc	19	24	22	41	1.4753787878787878	0.41729909600693077
chr10:103396438	wtdmso	wtcsc	1	5	15	36	0.48	0.665114759454382
chr10:104031404	wtdmso	wtcsc	12	21	76	74	0.556390977443609	0.1780272481519918
chr10:104031464	wtdmso	wtcsc	8	9	64	70	0.9722222222222222	1.0
chr10:104031516	wtdmso	wtcsc	11	11	60	76	1.2666666666666666	0.649137390130796
chr10:104031558	wtdmso	wtcsc	25	27	50	58	1.0740740740740742	0.8668104656887087
chr10:104031722	wtdmso	wtcsc	2	17	75	82	0.12862745098039216	0.002442186895390645
chr10:104031824	wtdmso	wtcsc	9	17	60	74	0.6529411764705882	0.39168067247218075
chr10:104031963	wtdmso	wtcsc	18	25	52	49	0.6784615384615384	0.36283645720573376
chr10:104031990	wtdmso	wtcsc	9	15	44	59	0.8045454545454546	0.8186574207120111
chr10:104032023	wtdmso	wtcsc	10	13	57	63	0.8502024291497976	0.821132769152804
chr10:104032084	wtdmso	wtcsc	7	9	57	59	0.8050682261208577	0.7922843832960635
chr10:104032126	wtdmso	wtcsc	6	8	52	66	0.9519230769230769	1.0
chr10:104032207	wtdmso	wtcsc	12	15	71	75	0.8450704225352113	0.8343511501920526
chr10:104032218	wtdmso	wtcsc	6	5	72	85	1.4166666666666667	0.7563752679046941
chr10:104032286	wtdmso	wtcsc	2	9	91	86	0.21001221001221002	0.05792494742597612
chr10:104032698	wtdmso	wtcsc	12	11	77	73	1.0342384887839433	1.0
chr10:104032750	wtdmso	wtcsc	4	1	38	37	3.8947368421052633	0.36215366911569447
chr10:104032912	wtdmso	wtcsc	18	13	70	80	1.5824175824175823	0.3239538276352102
chr10:104032948	wtdmso	wtcsc	3	7	76	83	0.4680451127819549	0.33968653721290865
chr10:104033237	wtdmso	wtcsc	3	5	79	81	0.6151898734177215	0.7204891848253832
chr10:104033248	wtdmso	wtcsc	3	4	65	69	0.7961538461538461	1.0
chr10:104033257	wtdmso	wtcsc	8	15	65	66	0.5415384615384615	0.25795900211020206
chr10:104033264	wtdmso	wtcsc	6	25	71	60	0.2028169014084507	0.0005456504742475393
chr10:104034003	wtdmso	wtcsc	6	7	68	69	0.8697478991596639	1.0
chr10:104034017	wtdmso	wtcsc	13	21	55	53	0.5965367965367966	0.23921409472066968
chr10:104034081	wtdmso	wtcsc	4	2	62	75	2.4193548387096775	0.41473122136809953
chr10:104034267	wtdmso	wtcsc	10	11	44	59	1.21900826446281	0.809944648132876
chr10:104034278	wtdmso	wtcsc	7	11	51	60	0.7486631016042781	0.6192366252091365
chr10:104034732	wtdmso	wtcsc	7	11	46	52	0.7193675889328063	0.611945436526389
chr10:104035282	wtdmso	wtcsc	9	8	44	45	1.1505681818181819	1.0
chr10:104035347	wtdmso	wtcsc	1	3	49	50	0.3401360544217687	0.6181983703795851
chr10:104035506	wtdmso	wtcsc	2	1	43	55	2.558139534883721	0.584158415841584
chr10:104036532	wtdmso	wtcsc	2	5	45	46	0.4088888888888889	0.43860433112211855
chr10:104037064	wtdmso	wtcsc	2	3	38	47	0.8245614035087719	1.0
chr10:104037635	wtdmso	wtcsc	2	1	38	42	2.210526315789474	0.6068828158161098
chr10:104037683	wtdmso	wtcsc	1	2	41	46	0.5609756097560976	1.0
chr10:104037708	wtdmso	wtcsc	7	7	35	41	1.1714285714285715	1.0
chr10:104037769	wtdmso	wtcsc	4	4	39	45	1.1538461538461537	1.0
chr10:104039449	wtdmso	wtcsc	2	4	35	32	0.45714285714285713	0.42967812832923696
chr10:104039460	wtdmso	wtcsc	4	3	33	34	1.3737373737373737	1.0
chr10:104039502	wtdmso	wtcsc	5	5	27	29	1.0740740740740742	1.0
chr10:104039979	wtdmso	wtcsc	2	5	33	32	0.3878787878787879	0.43038748389101655
chr10:104041318	wtdmso	wtcsc	2	1	29	27	1.8620689655172413	1.0
chr10:104042426	wtdmso	wtcsc	2	3	27	27	0.6666666666666666	1.0
chr10:104043525	wtdmso	wtcsc	1	2	30	26	0.43333333333333335	0.5994955243163431
chr10:104043543	wtdmso	wtcsc	4	6	27	22	0.5432098765432098	0.4942696510990634
chr10:104043830	wtdmso	wtcsc	2	5	30	26	0.3466666666666667	0.25651862359427324
chr10:104043855	wtdmso	wtcsc	3	7	28	23	0.3520408163265306	0.18216193232534797
chr10:104045791	wtdmso	wtcsc	2	4	28	28	0.5	0.6724236264459426
chr10:104046762	wtdmso	wtcsc	1	3	27	26	0.32098765432098764	0.6114832535885169
chr10:104047763	wtdmso	wtcsc	3	5	26	24	0.5538461538461539	0.70570179863947
chr10:104047805	wtdmso	wtcsc	4	1	25	28	4.48	0.3524720893141945
chr10:104050104	wtdmso	wtcsc	1	2	24	14	0.2916666666666667	0.5497185741088181
chr10:104050120	wtdmso	wtcsc	2	1	24	16	1.3333333333333333	1.0
chr10:104050627	wtdmso	wtcsc	1	1	21	16	0.7619047619047619	1.0
chr10:104050645	wtdmso	wtcsc	1	3	11	10	0.30303030303030304	0.5930434782608693
chr10:104050863	wtdmso	wtcsc	2	5	21	9	0.17142857142857143	0.08005111373232818
chr10:104052203	wtdmso	wtcsc	1	2	9	11	0.6111111111111112	1.0
chr10:104259748	wtdmso	wtcsc	3	4	65	108	1.2461538461538462	1.0
chr10:104266089	wtdmso	wtcsc	17	34	57	91	0.7982456140350878	0.6147144079046871
chr10:104267272	wtdmso	wtcsc	1	2	66	110	0.8333333333333334	1.0
chr10:104267278	wtdmso	wtcsc	8	16	60	110	0.9166666666666666	1.0
chr10:104267340	wtdmso	wtcsc	9	14	63	112	1.1428571428571428	0.8193269230257085
chr10:104267373	wtdmso	wtcsc	3	10	66	109	0.4954545454545455	0.37945223059724614
chr10:104267391	wtdmso	wtcsc	9	29	52	93	0.5550397877984085	0.17971467989076864
chr10:11870608	wtdmso	wtcsc	3	11	9	12	0.36363636363636365	0.2816351501668521
chr10:119499975	wtdmso	wtcsc	2	2	11	20	1.8181818181818181	0.6176470588235293
chr10:119500018	wtdmso	wtcsc	3	14	9	6	0.14285714285714285	0.026880108332930315
chr10:119500056	wtdmso	wtcsc	4	5	8	15	1.5	0.6959869940960043
chr10:119500094	wtdmso	wtcsc	5	9	5	10	1.1111111111111112	1.0
chr10:119500186	wtdmso	wtcsc	4	4	8	20	2.5	0.3974219721258914
chr10:119500209	wtdmso	wtcsc	4	5	8	16	1.6	0.6904594848977497
chr10:119515512	wtdmso	wtcsc	1	1	10	20	2.0	1.0
chr10:119515544	wtdmso	wtcsc	1	4	10	19	0.475	1.0
chr10:122488937	wtdmso	wtcsc	1	5	54	76	0.2814814814814815	0.40077618329882647
chr10:122489487	wtdmso	wtcsc	12	28	38	50	0.5639097744360902	0.17585631569812443
chr10:122489497	wtdmso	wtcsc	3	5	57	78	0.8210526315789474	1.0
chr10:122489515	wtdmso	wtcsc	1	6	60	79	0.21944444444444444	0.23925967735044523
chr10:122489618	wtdmso	wtcsc	5	12	58	83	0.5962643678160919	0.43727342422833504
chr10:12249616	wtdmso	wtcsc	2	2	8	8	1.0	1.0
chr10:122506856	wtdmso	wtcsc	2	2	58	87	1.5	1.0
chr10:122506867	wtdmso	wtcsc	1	2	65	91	0.7	1.0
chr10:122507376	wtdmso	wtcsc	4	4	63	90	1.4285714285714286	0.7197627171758505
chr10:122508691	wtdmso	wtcsc	1	7	69	92	0.19047619047619047	0.14176738983124385
chr10:122508755	wtdmso	wtcsc	4	3	61	92	2.010928961748634	0.4432758411102055
chr10:122511989	wtdmso	wtcsc	15	20	47	69	1.101063829787234	0.8460318971298442
chr10:122512001	wtdmso	wtcsc	3	6	24	33	0.6875	0.7270087137832892
chr10:122514232	wtdmso	wtcsc	14	33	21	34	0.6868686868686869	0.40885817311403394
chr10:122514291	wtdmso	wtcsc	13	19	73	97	0.9091564527757751	0.8478390953589205
chr10:122514376	wtdmso	wtcsc	27	41	50	71	0.9351219512195122	0.87810414500653
chr10:122514396	wtdmso	wtcsc	41	51	45	59	1.0540305010893247	0.88600891802191
chr10:122514421	wtdmso	wtcsc	53	75	39	45	0.8153846153846154	0.4822931225397086
chr10:122514442	wtdmso	wtcsc	19	34	69	84	0.680306905370844	0.2628689232106048
chr10:122514451	wtdmso	wtcsc	22	20	72	94	1.4361111111111111	0.3039291488411645
chr10:122514458	wtdmso	wtcsc	19	24	70	94	1.063095238095238	0.8643928982780189
chr10:122514484	wtdmso	wtcsc	6	10	83	95	0.6867469879518072	0.6035086671606396
chr10:122514627	wtdmso	wtcsc	32	38	27	59	1.8401559454191032	0.07089293817311995
chr10:122514653	wtdmso	wtcsc	11	22	81	109	0.6728395061728395	0.3447051644254733
chr10:122514732	wtdmso	wtcsc	49	80	36	50	0.8506944444444444	0.5727844295472935
chr10:122514787	wtdmso	wtcsc	11	19	82	114	0.8048780487804879	0.6919275391390565
chr10:122514868	wtdmso	wtcsc	9	23	80	109	0.5331521739130435	0.17232648476179804
chr10:130166938	wtdmso	wtcsc	2	1	8	27	6.75	0.16358463726884784
chr10:130179343	wtdmso	wtcsc	1	5	9	32	0.7111111111111111	1.0
chr10:133364681	wtdmso	wtcsc	1	1	9	9	1.0	1.0
chr10:17229515	wtdmso	wtcsc	11	24	106	195	0.8431603773584906	0.7116006355138602
chr10:17229666	wtdmso	wtcsc	19	49	103	193	0.726570239746384	0.3200995878734425
chr10:17229675	wtdmso	wtcsc	17	53	99	184	0.5961501810558414	0.11741287293551131
chr10:17229714	wtdmso	wtcsc	6	20	98	181	0.5540816326530612	0.28088323431708245
chr10:17229756	wtdmso	wtcsc	3	3	111	230	2.0720720720720722	0.39885100655596234
chr10:17229864	wtdmso	wtcsc	12	26	138	249	0.8327759197324415	0.7230428371435309
chr10:17229906	wtdmso	wtcsc	6	13	128	225	0.8112980769230769	0.8085363233147864
