chrom:genomepos	wtdmso	wtcsc
HLA-B*38:01:01:1947-mod	1	4
HLA-B*38:01:01:1947-unmod	9	31
HLA-B*38:01:01:1969-mod	1	2
HLA-B*38:01:01:1969-unmod	9	23
chr10:100362045-mod	1	2
chr10:100362045-unmod	24	33
chr10:100362088-mod	1	2
chr10:100362088-unmod	24	37
chr10:100362195-mod	10	19
chr10:100362195-unmod	17	20
chr10:100362220-mod	1	3
chr10:100362220-unmod	27	36
chr10:100362338-mod	2	1
chr10:100362338-unmod	30	43
chr10:100362595-mod	1	3
chr10:100362595-unmod	33	47
chr10:100362647-mod	1	5
chr10:100362647-unmod	39	47
chr10:100362913-mod	4	6
chr10:100362913-unmod	32	56
chr10:100363046-mod	6	11
chr10:100363046-unmod	40	57
chr10:100363097-mod	22	36
chr10:100363097-unmod	34	49
chr10:100363150-mod	19	33
chr10:100363150-unmod	32	42
chr10:100363246-mod	2	3
chr10:100363246-unmod	54	89
chr10:100363253-mod	1	4
chr10:100363253-unmod	56	68
chr10:100363423-mod	4	6
chr10:100363423-unmod	63	97
chr10:100363505-mod	2	3
chr10:100363505-unmod	65	98
chr10:100363743-mod	8	23
chr10:100363743-unmod	37	49
chr10:100363779-mod	6	16
chr10:100363779-unmod	41	47
chr10:100364038-mod	2	3
chr10:100364038-unmod	60	81
chr10:100364310-mod	7	18
chr10:100364310-unmod	67	87
chr10:100364322-mod	3	9
chr10:100364322-unmod	76	111
chr10:100364341-mod	1	2
chr10:100364341-unmod	82	123
chr10:100364392-mod	1	15
chr10:100364392-unmod	39	47
chr10:100364422-mod	3	13
chr10:100364422-unmod	76	107
chr10:100364475-mod	3	5
chr10:100364475-unmod	85	117
chr10:100364512-mod	18	40
chr10:100364512-unmod	79	87
chr10:100364569-mod	8	13
chr10:100364569-unmod	70	100
chr10:100364601-mod	6	15
chr10:100364601-unmod	93	116
chr10:100364610-mod	1	3
chr10:100364610-unmod	85	113
chr10:100364725-mod	7	15
chr10:100364725-unmod	86	109
chr10:100523754-mod	1	1
chr10:100523754-unmod	10	15
chr10:100523800-mod	3	3
chr10:100523800-unmod	20	17
chr10:100523926-mod	3	4
chr10:100523926-unmod	19	15
