site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio
chr10:100361831	wtdmso	mtcsc	1	1	20	36	1.8	1.0	chr10	100361831	ENST00000370355.3	ENSG00000099194.6	SCD	0.047619047619047616	0.02702702702702703	-0.020592020592020588
chr10:100362088	wtdmso	mtcsc	1	1	24	47	1.9583333333333333	1.0	chr10	100362088	ENST00000370355.3	ENSG00000099194.6	SCD	0.04	0.020833333333333332	-0.01916666666666667
chr10:100362195	wtdmso	mtcsc	10	15	17	37	1.4509803921568627	0.4589274252371251	chr10	100362195	ENST00000370355.3	ENSG00000099194.6	SCD	0.37037037037037035	0.28846153846153844	-0.08190883190883191
chr10:100362220	wtdmso	mtcsc	1	2	27	52	0.9629629629629628	1.0	chr10	100362220	ENST00000370355.3	ENSG00000099194.6	SCD	0.03571428571428571	0.037037037037037035	0.0013227513227513227
chr10:100362647	wtdmso	mtcsc	1	4	39	57	0.3653846153846153	0.6455921628350505	chr10	100362647	ENST00000370355.3,flairiso31141-1	ENSG00000099194.6	SCD	0.025	0.06557377049180328	0.04057377049180328
chr10:100362752	wtdmso	mtcsc	1	2	32	57	0.890625	1.0	chr10	100362752	ENST00000370355.3	ENSG00000099194.6	SCD	0.030303030303030304	0.03389830508474576	0.0035952747817154587
chr10:100362913	wtdmso	mtcsc	4	7	32	59	1.0535714285714286	1.0	chr10	100362913	ENST00000370355.3,flairiso31144-1	ENSG00000099194.6	SCD	0.1111111111111111	0.10606060606060606	-0.005050505050505041
chr10:100363046	wtdmso	mtcsc	6	14	40	71	0.7607142857142857	0.7997919346647411	chr10	100363046	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.13043478260869565	0.16470588235294117	0.034271099744245526
chr10:100363097	wtdmso	mtcsc	22	30	34	68	1.4666666666666666	0.2922252238870206	chr10	100363097	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.39285714285714285	0.30612244897959184	-0.086734693877551
chr10:100363150	wtdmso	mtcsc	19	42	32	36	0.5089285714285714	0.0735528237365529	chr10	100363150	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.37254901960784315	0.5384615384615384	0.1659125188536953
chr10:100363246	wtdmso	mtcsc	2	2	54	90	1.6666666666666667	0.6335456855060069	chr10	100363246	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.03571428571428571	0.021739130434782608	-0.013975155279503104
chr10:100363253	wtdmso	mtcsc	1	2	56	76	0.6785714285714286	1.0	chr10	100363253	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.017543859649122806	0.02564102564102564	0.008097165991902834
chr10:100363423	wtdmso	mtcsc	4	11	63	95	0.5483405483405484	0.4109181549824474	chr10	100363423	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.05970149253731343	0.10377358490566038	0.04407209236834695
chr10:100363743	wtdmso	mtcsc	8	17	37	57	0.724960254372019	0.643607638801855	chr10	100363743	ENST00000370355.3	ENSG00000099194.6	SCD	0.17777777777777778	0.22972972972972974	0.05195195195195196
chr10:100363779	wtdmso	mtcsc	6	12	41	65	0.7926829268292683	0.7952404416464871	chr10	100363779	ENST00000370355.3	ENSG00000099194.6	SCD	0.1276595744680851	0.15584415584415584	0.028184581376070744
chr10:100363945	wtdmso	mtcsc	1	1	51	73	1.431372549019608	1.0	chr10	100363945	ENST00000370355.3	ENSG00000099194.6	SCD	0.019230769230769232	0.013513513513513514	-0.005717255717255718
chr10:100364038	wtdmso	mtcsc	2	2	60	75	1.25	1.0	chr10	100364038	ENST00000370355.3	ENSG00000099194.6	SCD	0.03225806451612903	0.025974025974025976	-0.006284038542103056
chr10:100364310	wtdmso	mtcsc	7	10	67	80	0.835820895522388	0.8010656116371189	chr10	100364310	ENST00000370355.3	ENSG00000099194.6	SCD	0.0945945945945946	0.1111111111111111	0.016516516516516505
chr10:100364322	wtdmso	mtcsc	3	5	76	96	0.7578947368421053	1.0	chr10	100364322	ENST00000370355.3	ENSG00000099194.6	SCD	0.0379746835443038	0.04950495049504951	0.011530266950745709
chr10:100364341	wtdmso	mtcsc	1	4	82	104	0.3170731707317073	0.3900519372397798	chr10	100364341	ENST00000370355.3	ENSG00000099194.6	SCD	0.012048192771084338	0.037037037037037035	0.024988844265952697
chr10:100364392	wtdmso	mtcsc	1	4	39	35	0.2243589743589743	0.2007233273056057	chr10	100364392	ENST00000370355.3	ENSG00000099194.6	SCD	0.025	0.10256410256410256	0.07756410256410257
chr10:100364422	wtdmso	mtcsc	3	11	76	98	0.3516746411483253	0.1585342619236785	chr10	100364422	ENST00000370355.3	ENSG00000099194.6	SCD	0.0379746835443038	0.10091743119266056	0.06294274764835675
chr10:100364475	wtdmso	mtcsc	3	4	85	107	0.9441176470588236	1.0	chr10	100364475	ENST00000370355.3	ENSG00000099194.6	SCD	0.03409090909090909	0.036036036036036036	0.0019451269451269473
chr10:100364512	wtdmso	mtcsc	18	21	79	90	0.976491862567812	1.0	chr10	100364512	ENST00000370355.3	ENSG00000099194.6	SCD	0.18556701030927836	0.1891891891891892	0.0036221788799108423
chr10:100364569	wtdmso	mtcsc	8	15	70	81	0.6171428571428571	0.3706230931901262	chr10	100364569	ENST00000370355.3	ENSG00000099194.6	SCD	0.10256410256410256	0.15625	0.05368589743589744
chr10:100364601	wtdmso	mtcsc	6	8	93	112	0.9032258064516128	1.0	chr10	100364601	ENST00000370355.3	ENSG00000099194.6	SCD	0.06060606060606061	0.06666666666666667	0.006060606060606058
chr10:100364610	wtdmso	mtcsc	1	2	85	100	0.5882352941176471	1.0	chr10	100364610	ENST00000370355.3	ENSG00000099194.6	SCD	0.011627906976744186	0.0196078431372549	0.007979936160510716
