site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio	delta_prob
chr10:119500018	wtdmso	mtcsc	3	13	9	3	0.0769230769230769	0.0060992207714512	chr10	119500018	ENST00000369103.3	ENSG00000148908.15	RGS10	0.25	0.8125	0.5625	-0.4017772194531664
chr10:95263872	wtdmso	mtcsc	18	19	35	83	2.2466165413533834	0.0464062928080106	chr10	95263872	ENST00000329399.7,flairiso31074-1,flairiso31076-1	ENSG00000107438.9	PDLIM1	0.33962264150943394	0.18627450980392157	-0.15334813170551237	0.135821741227342
chr11:10797528	wtdmso	mtcsc	1	8	28	24	0.1071428571428571	0.0277043995474553	chr11	10797528	ENST00000339995.10,flairiso31629-1,flairiso31630-1,flairiso31631-1	ENSG00000110321.17	EIF4G2	0.034482758620689655	0.25	0.21551724137931033	-0.1068502299503263
chr11:18403758	wtdmso	mtcsc	13	27	94	90	0.4609929078014184	0.0369248825579558	chr11	18403758	ENST00000379412.9-0,ENST00000422447.8,flairiso31751-1,flairiso31752-1,flairiso31753-1,flairiso31762-1	ENSG00000134333.14	LDHA	0.12149532710280374	0.23076923076923078	0.10927390366642704	0.1586478542104042
chr11:64319791	wtdmso	mtcsc	9	1	57	100	15.789473684210526	0.0011179952922395	chr11	64319791	ENST00000265462.9	ENSG00000126432.14	PRDX5	0.13636363636363635	0.009900990099009901	-0.12646264626462644	-0.1141275394123074
chr12:120498138	wtdmso	mtcsc	10	4	38	60	3.947368421052632	0.0400961996032939	chr12	120498138	ENST00000242577.11,ENST00000392508.2	ENSG00000088986.11	DYNLL1	0.20833333333333334	0.0625	-0.14583333333333334	0.1666868753514637
chr12:49759297	wtdmso	mtcsc	3	18	50	63	0.21	0.0136565335458434	chr12	49759297	ENST00000267115.10,flairiso33535-1,flairiso44723-1	ENSG00000139644.13	TMBIM6	0.05660377358490566	0.2222222222222222	0.16561844863731656	0.1896885884251317
chr12:52952134	wtdmso	mtcsc	7	30	57	88	0.3602339181286549	0.0213124585991737	chr12	52952134	ENST00000388835.4,ENST00000388837.6,flairiso33646-1	ENSG00000111057.11	KRT18	0.109375	0.2542372881355932	0.1448622881355932	0.1343890275001065
chr12:54284711	wtdmso	mtcsc	29	90	48	60	0.4027777777777778	0.0019381036178255	chr12	54284711	ENST00000340913.10,ENST00000546500.5,flairiso33779-1,flairiso33783-1,flairiso33787-1	ENSG00000135486.17	HNRNPA1	0.37662337662337664	0.6	0.22337662337662334	0.1465346034936963
chr12:56159995	wtdmso	mtcsc	6	5	15	93	7.44	0.0039244884201342	chr12	56159995	ENST00000547649.5,ENST00000550697.5,flairiso33901-1	ENSG00000092841.18	MYL6	0.2857142857142857	0.05102040816326531	-0.2346938775510204	-0.1006504181167885
