site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio	delta_prob
chr10:100364392	wtdmso	wtcsc	1	15	39	47	0.0803418803418803	0.0040140717792604	chr10	100364392	ENST00000370355.3	ENSG00000099194.6	SCD	0.025	0.24193548387096775	0.21693548387096775	0.3664407373319418
chr10:100364512	wtdmso	wtcsc	18	40	79	87	0.4955696202531645	0.0317199449720599	chr10	100364512	ENST00000370355.3	ENSG00000099194.6	SCD	0.18556701030927836	0.31496062992125984	0.12939361961198148	0.1988895528906062
chr10:104031722	wtdmso	wtcsc	2	17	75	82	0.1286274509803921	0.0024421868953906	chr10	104031722	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.025974025974025976	0.1717171717171717	0.14574314574314573	0.4551811050818444
chr10:104033264	wtdmso	wtcsc	6	25	71	60	0.2028169014084507	0.0005456504742475	chr10	104033264	ENST00000648076.2	ENSG00000065618.21	COL17A1	0.07792207792207792	0.29411764705882354	0.21619556913674562	0.2351679149616718
chr10:17233839	wtdmso	wtcsc	18	73	169	217	0.3166085758288076	1.5422111709486448e-05	chr10	17233839	ENST00000224237.9,flairiso30647-1,flairiso30648-1,flairiso30649-1,flairiso30650-1,flairiso30651-1,flairiso30654-1	ENSG00000026025.16	VIM	0.0962566844919786	0.2517241379310345	0.15546745343905588	0.2072542788473151
chr10:32901079	wtdmso	wtcsc	5	20	61	87	0.3565573770491803	0.0474206813082006	chr10	32901079	ENST00000302278.8,ENST00000396033.6,flairiso30699-1,flairiso30700-1,flairiso30701-1,flairiso30702-1	ENSG00000150093.19	ITGB1	0.07575757575757576	0.18691588785046728	0.11115831209289152	0.3156705635705741
chr10:32901200	wtdmso	wtcsc	4	28	65	71	0.156043956043956	0.0002352518510827	chr10	32901200	ENST00000302278.8,ENST00000396033.6,flairiso30699-1,flairiso30700-1,flairiso30701-1,flairiso30702-1	ENSG00000150093.19	ITGB1	0.057971014492753624	0.2828282828282828	0.2248572683355292	0.2567202066956874
chr10:71818681	wtdmso	wtcsc	25	67	153	190	0.4633694273729392	0.0027491508598037	chr10	71818681	ENST00000394934.4,ENST00000394936.8,flairiso30885-1,flairiso30886-1,flairiso30887-1,flairiso30888-1,flairiso30889-1,flairiso30890-1,flairiso30891-1,flairiso30892-1	ENSG00000197746.14	PSAP	0.1404494382022472	0.2607003891050584	0.12025095090281118	0.1811772177321581
chr10:71819613	wtdmso	wtcsc	14	58	127	155	0.2945967960901439	7.524164672949443e-05	chr10	71819613	ENST00000394934.4,ENST00000394936.8,flairiso30885-1,flairiso30886-1,flairiso30887-1,flairiso30888-1,flairiso30889-1,flairiso30890-1,flairiso30891-1	ENSG00000197746.14	PSAP	0.09929078014184398	0.27230046948356806	0.1730096893417241	0.2414240509682426
chr10:71828117	wtdmso	wtcsc	29	72	76	107	0.5670687134502924	0.0397614868477051	chr10	71828117	ENST00000394934.4,ENST00000394936.8,flairiso30885-1,flairiso30886-1,flairiso30887-1,flairiso30888-1,flairiso30890-1,flairiso30891-1	ENSG00000197746.14	PSAP	0.2761904761904762	0.4022346368715084	0.1260441606810322	0.1891881980841875
