chrom:genomepos	wtdmso	mtdmso
HLA-B*38:01:01:1947-mod	1	1
HLA-B*38:01:01:1947-unmod	9	10
HLA-B*38:01:01:1969-mod	1	1
HLA-B*38:01:01:1969-unmod	9	10
chr10:100361831-mod	1	1
chr10:100361831-unmod	20	25
chr10:100362195-mod	10	9
chr10:100362195-unmod	17	27
chr10:100362220-mod	1	1
chr10:100362220-unmod	27	36
chr10:100362647-mod	1	3
chr10:100362647-unmod	39	42
chr10:100362752-mod	1	2
chr10:100362752-unmod	32	43
chr10:100362913-mod	4	6
chr10:100362913-unmod	32	43
chr10:100363046-mod	6	10
chr10:100363046-unmod	40	65
chr10:100363097-mod	22	28
chr10:100363097-unmod	34	62
chr10:100363150-mod	19	38
chr10:100363150-unmod	32	29
chr10:100363246-mod	2	3
chr10:100363246-unmod	54	82
chr10:100363253-mod	1	2
chr10:100363253-unmod	56	66
chr10:100363423-mod	4	10
chr10:100363423-unmod	63	87
chr10:100363743-mod	8	13
chr10:100363743-unmod	37	45
chr10:100363779-mod	6	9
chr10:100363779-unmod	41	52
chr10:100363945-mod	1	1
chr10:100363945-unmod	51	65
chr10:100364038-mod	2	1
chr10:100364038-unmod	60	67
chr10:100364310-mod	7	8
chr10:100364310-unmod	67	67
chr10:100364322-mod	3	2
chr10:100364322-unmod	76	84
chr10:100364341-mod	1	5
chr10:100364341-unmod	82	88
chr10:100364392-mod	1	1
chr10:100364392-unmod	39	23
chr10:100364422-mod	3	9
chr10:100364422-unmod	76	81
chr10:100364475-mod	3	3
chr10:100364475-unmod	85	96
chr10:100364512-mod	18	21
chr10:100364512-unmod	79	76
chr10:100364569-mod	8	14
chr10:100364569-unmod	70	71
chr10:100364601-mod	6	10
chr10:100364601-unmod	93	92
chr10:100364610-mod	1	1
chr10:100364610-unmod	85	90
chr10:100364650-mod	1	1
chr10:100364650-unmod	94	94
chr10:100364725-mod	7	12
chr10:100364725-unmod	86	85
chr10:100523800-mod	3	2
chr10:100523800-unmod	20	19
chr10:100523926-mod	3	2
chr10:100523926-unmod	19	15
chr10:100526522-mod	5	1
chr10:100526522-unmod	22	23
chr10:100526977-mod	4	4
chr10:100526977-unmod	22	20
chr10:100526987-mod	8	7
chr10:100526987-unmod	18	15
chr10:100529402-mod	5	6
chr10:100529402-unmod	21	16
chr10:100529494-mod	1	1
chr10:100529494-unmod	24	20
chr10:100529769-mod	1	2
chr10:100529769-unmod	20	14
chr10:103389058-mod	5	3
chr10:103389058-unmod	8	7
chr10:103392371-mod	19	8
chr10:103392371-unmod	22	17
chr10:104031404-mod	12	12
chr10:104031404-unmod	76	54
chr10:104031464-mod	8	9
chr10:104031464-unmod	64	46
chr10:104031516-mod	11	4
chr10:104031516-unmod	60	51
chr10:104031558-mod	25	12
chr10:104031558-unmod	50	46
chr10:104031722-mod	2	12
chr10:104031722-unmod	75	54
chr10:104031824-mod	9	2
chr10:104031824-unmod	60	62
chr10:104031963-mod	18	21
chr10:104031963-unmod	52	36
chr10:104031990-mod	9	7
chr10:104031990-unmod	44	37
