site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio
chr10:100361831	wtdmso	mtdmso	1	1	20	25	1.25	1.0	chr10	100361831	ENST00000370355.3	ENSG00000099194.6	SCD	0.047619047619047616	0.038461538461538464	-0.009157509157509153
chr10:100362195	wtdmso	mtdmso	10	9	17	27	1.7647058823529411	0.406851734078988	chr10	100362195	ENST00000370355.3	ENSG00000099194.6	SCD	0.37037037037037035	0.25	-0.12037037037037035
chr10:100362220	wtdmso	mtdmso	1	1	27	36	1.3333333333333333	1.0	chr10	100362220	ENST00000370355.3	ENSG00000099194.6	SCD	0.03571428571428571	0.02702702702702703	-0.008687258687258684
chr10:100362647	wtdmso	mtdmso	1	3	39	42	0.358974358974359	0.6186261751247661	chr10	100362647	ENST00000370355.3,flairiso31141-1	ENSG00000099194.6	SCD	0.025	0.06666666666666667	0.041666666666666664
chr10:100362752	wtdmso	mtdmso	1	2	32	43	0.671875	1.0	chr10	100362752	ENST00000370355.3	ENSG00000099194.6	SCD	0.030303030303030304	0.044444444444444446	0.014141414141414142
chr10:100362913	wtdmso	mtdmso	4	6	32	43	0.8958333333333334	1.0	chr10	100362913	ENST00000370355.3,flairiso31144-1	ENSG00000099194.6	SCD	0.1111111111111111	0.12244897959183673	0.011337868480725627
chr10:100363046	wtdmso	mtdmso	6	10	40	65	0.975	1.0	chr10	100363046	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.13043478260869565	0.13333333333333333	0.002898550724637683
chr10:100363097	wtdmso	mtdmso	22	28	34	62	1.4327731092436975	0.3706747820636763	chr10	100363097	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.39285714285714285	0.3111111111111111	-0.08174603174603173
chr10:100363150	wtdmso	mtdmso	19	38	32	29	0.453125	0.0421934492345783	chr10	100363150	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.37254901960784315	0.5671641791044776	0.19461515949663444
chr10:100363246	wtdmso	mtdmso	2	3	54	82	1.0123456790123455	1.0	chr10	100363246	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.03571428571428571	0.03529411764705882	-0.00042016806722688926
chr10:100363253	wtdmso	mtdmso	1	2	56	66	0.5892857142857143	1.0	chr10	100363253	ENST00000370355.3,flairiso31141-1,flairiso31144-1	ENSG00000099194.6	SCD	0.017543859649122806	0.029411764705882353	0.011867905056759546
chr10:100363423	wtdmso	mtdmso	4	10	63	87	0.5523809523809524	0.4030616644484576	chr10	100363423	ENST00000370355.3,flairiso31141-1,flairiso31142-1,flairiso31144-1	ENSG00000099194.6	SCD	0.05970149253731343	0.10309278350515463	0.0433912909678412
chr10:100363743	wtdmso	mtdmso	8	13	37	45	0.7484407484407485	0.628040744630656	chr10	100363743	ENST00000370355.3	ENSG00000099194.6	SCD	0.17777777777777778	0.22413793103448276	0.04636015325670498
chr10:100363779	wtdmso	mtdmso	6	9	41	52	0.8455284552845529	1.0	chr10	100363779	ENST00000370355.3	ENSG00000099194.6	SCD	0.1276595744680851	0.14754098360655737	0.019881409138472278
chr10:100363945	wtdmso	mtdmso	1	1	51	65	1.2745098039215683	1.0	chr10	100363945	ENST00000370355.3	ENSG00000099194.6	SCD	0.019230769230769232	0.015151515151515152	-0.00407925407925408
chr10:100364038	wtdmso	mtdmso	2	1	60	67	2.2333333333333334	0.6052213774597496	chr10	100364038	ENST00000370355.3	ENSG00000099194.6	SCD	0.03225806451612903	0.014705882352941176	-0.017552182163187855
chr10:100364310	wtdmso	mtdmso	7	8	67	67	0.875	1.0	chr10	100364310	ENST00000370355.3	ENSG00000099194.6	SCD	0.0945945945945946	0.10666666666666667	0.012072072072072074
chr10:100364322	wtdmso	mtdmso	3	2	76	84	1.6578947368421053	0.6711013659923615	chr10	100364322	ENST00000370355.3	ENSG00000099194.6	SCD	0.0379746835443038	0.023255813953488372	-0.014718869590815427
chr10:100364341	wtdmso	mtdmso	1	5	82	88	0.2146341463414634	0.2152813311594447	chr10	100364341	ENST00000370355.3	ENSG00000099194.6	SCD	0.012048192771084338	0.053763440860215055	0.04171524808913071
chr10:100364392	wtdmso	mtdmso	1	1	39	23	0.5897435897435898	1.0	chr10	100364392	ENST00000370355.3	ENSG00000099194.6	SCD	0.025	0.041666666666666664	0.016666666666666663
